pair_id	id_a	id_b	pair_id_clean	id_a_clean	id_b_clean	taxid_a	taxid_b	pubid
O14653_O94855	O94855	O14653	O14653_O94855	O94855	O14653	9606	9606	18843296
O15111_P02786	P02786	O15111	O15111_P02786	P02786	O15111	9606	9606	23016877
O15111_Q96EY1-2	Q96EY1-2	O15111	O15111_Q96EY1	Q96EY1	O15111	9606	9606	15601829
O15111_Q96EY1-1	Q96EY1-1	O15111	O15111_Q96EY1	Q96EY1	O15111	9606	9606	15601829
O15111_P63167	P63167	O15111	O15111_P63167	P63167	O15111	9606	9606	18579519
O15111_Q86WI3	Q86WI3	O15111	O15111_Q86WI3	Q86WI3	O15111	9606	9606	20434986
O15111_Q14587-2	Q14587-2	O15111	O15111_Q14587	Q14587	O15111	9606	9606	23091055
O00571_O15111	O00571	O15111	O00571_O15111	O00571	O15111	9606	9606	30341167
O15111_Q15048	Q15048	O15111	O15111_Q15048	Q15048	O15111	9606	9606	27426725
O15111_Q13325	Q13325	O15111	O15111_Q13325	Q13325	O15111	9606	9606	26334375
O15111_P32121	P32121	O15111	O15111_P32121	P32121	O15111	9606	9606	15125834
O15111_Q04206	Q04206	O15111	O15111_Q04206	Q04206	O15111	9606	9606	10521409
O15111_Q6P9F5	Q6P9F5	O15111	O15111_Q6P9F5	Q6P9F5	O15111	9606	9606	21474709
O00623_O60683	O00623	O60683	O00623_O60683	O00623	O60683	9606	9606	10837480
O60683_P50542	P50542	O60683	O60683_P50542	P50542	O60683	9606	9606	10837480
O60683_P28328	P28328	O60683	O60683_P28328	P28328	O60683	9606	9606	10837480
O00623_O60683-1	O00623	O60683-1	O00623_O60683	O00623	O60683	9606	9606	10562279
O75665_Q86SQ7	Q86SQ7	O75665	O75665_Q86SQ7	Q86SQ7	O75665	9606	9606	20835237
O75665_Q4AC94	Q4AC94	O75665	O75665_Q4AC94	Q4AC94	O75665	9606	9606	24997988
O75665_Q9GZQ8	Q9GZQ8	O75665	O75665_Q9GZQ8	Q9GZQ8	O75665	9606	9606	24089205
O75665_Q96ST8	Q96ST8	O75665	O75665_Q96ST8	Q96ST8	O75665	9606	9606	23789104
O75665_Q86VQ0	Q86VQ0	O75665	O75665_Q86VQ0	Q86VQ0	O75665	9606	9606	19800048
O95819_P10114	P10114	O95819	O95819_P10114	P10114	O95819	9606	9606	14966141
O75173_P09958	O75173	P09958	O75173_P09958	O75173	P09958	9606	9606	14744861
P23471_P35222	P35222	P23471	P23471_P35222	P35222	P23471	9606	9606	10706604
P21246_P23471	P21246	P23471	P21246_P23471	P21246	P23471	9606	9606	10706604
P21246_P23471	P21246	P23471	P21246_P23471	P21246	P23471	9606	9606	19141530
P16112_P49747	P16112	P49747	P16112_P49747	P16112	P49747	9606	9606	17588949
O95460_P49747	O95460	P49747	O95460_P49747	O95460	P49747	9606	9606	15075323
O15232_P49747	O15232	P49747	O15232_P49747	O15232	P49747	9606	9606	15075323
P21941_P49747	P21941	P49747	P21941_P49747	P21941	P49747	9606	9606	15075323
P49747_P58397	P58397	P49747	P49747_P58397	P58397	P49747	9606	9606	18485748
