ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A024A2C9	P08603	A0A024A2C9_P08603	A0A024A2C9	P08603	A0A024A2C9_P08603	24835392	1
A0A024A2C9	P04004	A0A024A2C9_P04004	A0A024A2C9	P04004	A0A024A2C9_P04004	26538390	1
A0A024A2C9	P08603	A0A024A2C9_P08603	A0A024A2C9	P08603	A0A024A2C9_P08603	26538390	1
A0A060WMK8	B6UQB6	A0A060WMK8_B6UQB6	A0A060WMK8	B6UQB6	A0A060WMK8_B6UQB6	19454334	1
A0A060WMK8	B6UQB7	A0A060WMK8_B6UQB7	A0A060WMK8	B6UQB7	A0A060WMK8_B6UQB7	19454334	1
A0A060WMK8	E3P8T4	A0A060WMK8_E3P8T4	A0A060WMK8	E3P8T4	A0A060WMK8_E3P8T4	19454334	1
A0A060WMK8	E3P8T5	A0A060WMK8_E3P8T5	A0A060WMK8	E3P8T5	A0A060WMK8_E3P8T5	19454334	1
A0A060WMK8	Q5QSL2	A0A060WMK8_Q5QSL2	A0A060WMK8	Q5QSL2	A0A060WMK8_Q5QSL2	19454334	1
A0A060YND6	Q90XS7	A0A060YND6_Q90XS7	A0A060YND6	Q90XS7	A0A060YND6_Q90XS7	14688343	1
A0A060YX94	B6UQB6	A0A060YX94_B6UQB6	A0A060YX94	B6UQB6	A0A060YX94_B6UQB6	19454334	1
A0A060YX94	B6UQB7	A0A060YX94_B6UQB7	A0A060YX94	B6UQB7	A0A060YX94_B6UQB7	19454334	1
A0A060YX94	E3P8T4	A0A060YX94_E3P8T4	A0A060YX94	E3P8T4	A0A060YX94_E3P8T4	19454334	1
A0A060YX94	E3P8T5	A0A060YX94_E3P8T5	A0A060YX94	E3P8T5	A0A060YX94_E3P8T5	19454334	1
A0A060YX94	Q5QSL2	A0A060YX94_Q5QSL2	A0A060YX94	Q5QSL2	A0A060YX94_Q5QSL2	19454334	1
A0A061I5T4	O15357	A0A061I5T4_O15357	A0A061I5T4	O15357	A0A061I5T4_O15357	12504111	1
A0A061I5T4	Q9BX66	A0A061I5T4_Q9BX66	A0A061I5T4	Q9BX66	A0A061I5T4_Q9BX66	12504111	1
A0A068F1B9	G0SAK8	A0A068F1B9_G0SAK8	A0A068F1B9	G0SAK8	A0A068F1B9_G0SAK8	24872509	1
A0A072VMJ3	Q6RHR6	A0A072VMJ3_Q6RHR6	A0A072VMJ3	Q6RHR6	A0A072VMJ3_Q6RHR6	27230377	1
A0A088QTX9	Q93Z00	A0A088QTX9_Q93Z00	A0A088QTX9	Q93Z00	A0A088QTX9_Q93Z00	25211078	1
A0A098	Q9XEK5	A0A098_Q9XEK5	A0A098	Q9XEK5	A0A098_Q9XEK5	18510927	1
A0A0A8LEX5	W8W3N8	A0A0A8LEX5_W8W3N8	A0A0A8LEX5	W8W3N8	A0A0A8LEX5_W8W3N8	25576824	1
A0A0B8RZS0	A7LKB1	A0A0B8RZS0_A7LKB1	A0A0B8RZS0	A7LKB1	A0A0B8RZS0_A7LKB1	23951196	1
A0A0B8RZS0	B3FK65	A0A0B8RZS0_B3FK65	A0A0B8RZS0	B3FK65	A0A0B8RZS0_B3FK65	23951196	1
A0A0B8RZS0	F1RNW6	A0A0B8RZS0_F1RNW6	A0A0B8RZS0	F1RNW6	A0A0B8RZS0_F1RNW6	23951196	1
A0A0B8RZS0	F1SUJ0	A0A0B8RZS0_F1SUJ0	A0A0B8RZS0	F1SUJ0	A0A0B8RZS0_F1SUJ0	23951196	1
A0A0D5CDW0	W5U6C9	A0A0D5CDW0_W5U6C9	A0A0D5CDW0	W5U6C9	A0A0D5CDW0_W5U6C9	25771179	1
A0A0F3UH49	P23396	A0A0F3UH49_P23396	A0A0F3UH49	P23396	A0A0F3UH49_P23396	20041225	1
A0A0F6B063	Q8IWE5	A0A0F6B063_Q8IWE5	A0A0F6B063	Q8IWE5	A0A0F6B063_Q8IWE5	18996344	1
A0A0F6B1Q8	P61586	A0A0F6B1Q8_P61586	A0A0F6B1Q8	P61586	A0A0F6B1Q8_P61586	22740689	1
A0A0F6B941	D0ZLQ7	A0A0F6B941_D0ZLQ7	A0A0F6B941	D0ZLQ7	A0A0F6B941_D0ZLQ7	23827679	1
A0A0F7CWL3	Q5KSL3	A0A0F7CWL3_Q5KSL3	A0A0F7CWL3	Q5KSL3	A0A0F7CWL3_Q5KSL3	15642802	1
A0A0H2UMS9	Q97R80	A0A0H2UMS9_Q97R80	A0A0H2UMS9	Q97R80	A0A0H2UMS9_Q97R80	23267104	1
A0A0H2UMT9	A0A0H2UNY0	A0A0H2UMT9_A0A0H2UNY0	A0A0H2UMT9	A0A0H2UNY0	A0A0H2UMT9_A0A0H2UNY0	23267104	1
A0A0H2UMV2	A0A0H2UQB9	A0A0H2UMV2_A0A0H2UQB9	A0A0H2UMV2	A0A0H2UQB9	A0A0H2UMV2_A0A0H2UQB9	23267104	1
A0A0H2UMW1	A0A0H2UNM1	A0A0H2UMW1_A0A0H2UNM1	A0A0H2UMW1	A0A0H2UNM1	A0A0H2UMW1_A0A0H2UNM1	23267104	1
A0A0H2UMY4	A0A0H2UN08	A0A0H2UMY4_A0A0H2UN08	A0A0H2UMY4	A0A0H2UN08	A0A0H2UMY4_A0A0H2UN08	23267104	1
A0A0H2UMZ1	A0A0H2UQS7	A0A0H2UMZ1_A0A0H2UQS7	A0A0H2UMZ1	A0A0H2UQS7	A0A0H2UMZ1_A0A0H2UQS7	23267104	1
A0A0H2UN08	A0A0H2UMY4	A0A0H2UMY4_A0A0H2UN08	A0A0H2UN08	A0A0H2UMY4	A0A0H2UMY4_A0A0H2UN08	23267104	1
A0A0H2UN16	Q97T34	A0A0H2UN16_Q97T34	A0A0H2UN16	Q97T34	A0A0H2UN16_Q97T34	23267104	1
A0A0H2UN55	Q97PM9	A0A0H2UN55_Q97PM9	A0A0H2UN55	Q97PM9	A0A0H2UN55_Q97PM9	23267104	1
A0A0H2UN86	Q97SX1	A0A0H2UN86_Q97SX1	A0A0H2UN86	Q97SX1	A0A0H2UN86_Q97SX1	23267104	1
A0A0H2UN91	A0A0H2UQZ2	A0A0H2UN91_A0A0H2UQZ2	A0A0H2UN91	A0A0H2UQZ2	A0A0H2UN91_A0A0H2UQZ2	23267104	1
A0A0H2UN91	A0A0H2URZ0	A0A0H2UN91_A0A0H2URZ0	A0A0H2UN91	A0A0H2URZ0	A0A0H2UN91_A0A0H2URZ0	23267104	1
A0A0H2UNC2	A0A0H2UNU9	A0A0H2UNC2_A0A0H2UNU9	A0A0H2UNC2	A0A0H2UNU9	A0A0H2UNC2_A0A0H2UNU9	23267104	1
A0A0H2UNE9	Q97T03	A0A0H2UNE9_Q97T03	A0A0H2UNE9	Q97T03	A0A0H2UNE9_Q97T03	23267104	1
A0A0H2UNG1	A0A0H2UPV5	A0A0H2UNG1_A0A0H2UPV5	A0A0H2UNG1	A0A0H2UPV5	A0A0H2UNG1_A0A0H2UPV5	23267104	1
A0A0H2UNG3	A0A0H2UNW4	A0A0H2UNG3_A0A0H2UNW4	A0A0H2UNG3	A0A0H2UNW4	A0A0H2UNG3_A0A0H2UNW4	23267104	1
A0A0H2UNI9	Q97TA2	A0A0H2UNI9_Q97TA2	A0A0H2UNI9	Q97TA2	A0A0H2UNI9_Q97TA2	23267104	1
A0A0H2UNJ6	A0A0H2URR7	A0A0H2UNJ6_A0A0H2URR7	A0A0H2UNJ6	A0A0H2URR7	A0A0H2UNJ6_A0A0H2URR7	23267104	1
A0A0H2UNJ7	A0A0H2UPA7	A0A0H2UNJ7_A0A0H2UPA7	A0A0H2UNJ7	A0A0H2UPA7	A0A0H2UNJ7_A0A0H2UPA7	23267104	1
A0A0H2UNK2	Q8KY51	A0A0H2UNK2_Q8KY51	A0A0H2UNK2	Q8KY51	A0A0H2UNK2_Q8KY51	19040630	1
A0A0H2UNK7	A0A0H2US22	A0A0H2UNK7_A0A0H2US22	A0A0H2UNK7	A0A0H2US22	A0A0H2UNK7_A0A0H2US22	23267104	1
A0A0H2UNL0	E7DN98	A0A0H2UNL0_E7DN98	A0A0H2UNL0	E7DN98	A0A0H2UNL0_E7DN98	27103053	1
A0A0H2UNL0	E7DNA8	A0A0H2UNL0_E7DNA8	A0A0H2UNL0	E7DNA8	A0A0H2UNL0_E7DNA8	27103053	1
A0A0H2UNM1	A0A0H2UMW1	A0A0H2UMW1_A0A0H2UNM1	A0A0H2UNM1	A0A0H2UMW1	A0A0H2UMW1_A0A0H2UNM1	23267104	1
