pair_id_clean	pubid	EBI_GOA_nonIntAct
P35240_Q00013	19144871	1
Q00013_Q8N3R9	17584769	1
Q00013_Q9P202	17584769	1
Q00403_Q12947	9722567	1
O95999_Q00403	15207693	1
P10827_Q00403	8524305	1
P20226_Q00403	8006019	1
P24385_Q00534	8114739	1
P30279_Q00534	8114739	1
P30281_Q00534	8114739	1
P42773_Q00534	8001816	1
P55273_Q00534	8741839	1
P42772_Q00534	8078588	1
Q00534_Q9Y3I1	18495667	1
Q00535_Q15078	12223541	1
P14625_Q00597	9596688	1
Q00604_Q00604	17955262	1
Q00604_Q9ULV1	17955262	1
Q00610_Q14677	12429846	1
P09496_Q00610	4066749	1
P14672_Q00610	19478182	1
Q00610_Q15836	19478182	1
Q00610_Q9UJY4	19478182	1
P20226_Q00613	11005381	1
Q00613_Q15545	11005381	1
P29692_Q00613	21597468	1
P12270_Q00613	17897941	1
P60900_Q00653	14743216	1
O00255_Q00653	11526476	1
P20749_Q00653	16108830	1
Q00653_Q04206	8441377	1
Q00765_Q5T4F4	23969831	1
Q00839_Q15303	20858735	1
Q00839_Q99697	19174163	1
_Q00839	18082603	1
Q00839_Q8IWS0	22720776	1
Q00839_Q9NZI8	17289661	1
Q00975_Q86UR5	11438518	1
P29084_Q00987	9271120	1
Q00987_Q08499	19372219	1
Q00987_Q9UER7	16845383	1
P06748_Q00987	15144954	1
O75832_Q00987	16023600	1
O60858_Q00987	21333377	1
O15151_Q00987	10608892	1
P04637_Q00987	9529249	1
Q00987_Q8N726	9529249	1
P29590_Q00987	22869143	1
O75604_Q00987	17290220	1
Q00987_Q8WZ73	18382127	1
Q00987_Q969K3	18382127	1
Q00987_Q15392	15577914	1
P49789_Q00987	15313915	1
P04637_Q00987	8875929	1
P32121_Q00987	15878855	1
P49407_Q00987	15878855	1
Q00987_Q6PCD5	20173098	1
Q00987_Q96PM5	19483087	1
Q00987_Q8N726	16173922	1
Q00987_Q96JB5	16173922	1
P29590_Q00987	12915590	1
Q00987_Q93009	18566590	1
Q00987_Q9NS23	18566590	1
Q01081_Q9BQA5	17577209	1
Q01082_Q01484	15262991	1
P32455_Q01082	24337748	1
P35240_Q01082	9537418	1
Q01094_Q9UPP1	20622854	1
O60934_Q01094	11486038	1
Q01094_Q9Y4A5	11418595	1
Q01094_Q13263	17704056	1
Q01094_Q13547	17704056	1
P06400_Q01094	16360038	1
Q01094_Q14186	16360038	1
Q01094_Q13490	21653699	1
P24385_Q01101	19124461	1
O15379_Q01101	16569215	1
P24385_Q01101	16569215	1
Q01101_Q13547	16569215	1
O00213_Q01105	19343227	1
P26583_Q01105	11909973	1
P18583_Q01130	21504830	1
Q01130_Q99590	9447963	1
Q01130_Q15696	9237760	1
Q01130_Q9H0G5	21296756	1
Q01196_Q13951	12217689	1
Q01196_Q15723	14970218	1
Q01196_Q99607	14970218	1
P28906_Q01196	21873977	1
P46937_Q01196	18280240	1
Q01196_Q92794	11742995	1
Q01196_Q9BZS1	17377532	1
Q01196_Q04724	9751710	1
Q01196_Q13951	10856244	1
Q01196_Q8WYB5	11965546	1
P17947_Q01196	10207087	1
P32519_Q01196	10207087	1
Q01196_Q99607	10207087	1
P40855_Q01453	14709540	1
Q01453_Q99572	12107182	1
P31151_Q01469	12839573	1
Q01484_Q14654	20610380	1
Q01484_Q5VST9	18782775	1
Q01484_Q9H310	15611082	1
Q01484_Q9NWT6	21177872	1
P32418_Q01484	17178715	1
Q01638_Q13445	8621446	1
