pair_id_clean	pubid	GO_IPI
A0A024A2C9_P08603	24835392	1
A0A024A2C9_P04004	26538390	1
A0A024A2C9_P08603	26538390	1
A0A060WMK8_B6UQB6	19454334	1
A0A060WMK8_B6UQB7	19454334	1
A0A060WMK8_E3P8T4	19454334	1
A0A060WMK8_E3P8T5	19454334	1
A0A060WMK8_Q5QSL2	19454334	1
A0A060YND6_Q90XS7	14688343	1
A0A060YX94_B6UQB6	19454334	1
A0A060YX94_B6UQB7	19454334	1
A0A060YX94_E3P8T4	19454334	1
A0A060YX94_E3P8T5	19454334	1
A0A060YX94_Q5QSL2	19454334	1
A0A061I5T4_O15357	12504111	1
A0A061I5T4_Q9BX66	12504111	1
A0A068F1B9_G0SAK8	24872509	1
A0A072VMJ3_Q6RHR6	27230377	1
A0A088QTX9_Q93Z00	25211078	1
A0A098_Q9XEK5	18510927	1
A0A0A8LEX5_W8W3N8	25576824	1
A0A0B8RZS0_A7LKB1	23951196	1
A0A0B8RZS0_B3FK65	23951196	1
A0A0B8RZS0_F1RNW6	23951196	1
A0A0B8RZS0_F1SUJ0	23951196	1
A0A0D5CDW0_W5U6C9	25771179	1
A0A0F3UH49_P23396	20041225	1
A0A0F6B063_Q8IWE5	18996344	1
A0A0F6B1Q8_P61586	22740689	1
A0A0F6B941_D0ZLQ7	23827679	1
A0A0F7CWL3_Q5KSL3	15642802	1
A0A0H2UMS9_Q97R80	23267104	1
A0A0H2UMT9_A0A0H2UNY0	23267104	1
A0A0H2UMV2_A0A0H2UQB9	23267104	1
A0A0H2UMW1_A0A0H2UNM1	23267104	1
A0A0H2UMY4_A0A0H2UN08	23267104	1
A0A0H2UMZ1_A0A0H2UQS7	23267104	1
A0A0H2UN16_Q97T34	23267104	1
A0A0H2UN55_Q97PM9	23267104	1
A0A0H2UN86_Q97SX1	23267104	1
A0A0H2UN91_A0A0H2UQZ2	23267104	1
A0A0H2UN91_A0A0H2URZ0	23267104	1
A0A0H2UNC2_A0A0H2UNU9	23267104	1
A0A0H2UNE9_Q97T03	23267104	1
A0A0H2UNG1_A0A0H2UPV5	23267104	1
A0A0H2UNG3_A0A0H2UNW4	23267104	1
A0A0H2UNI9_Q97TA2	23267104	1
A0A0H2UNJ6_A0A0H2URR7	23267104	1
A0A0H2UNJ7_A0A0H2UPA7	23267104	1
A0A0H2UNK2_Q8KY51	19040630	1
A0A0H2UNK7_A0A0H2US22	23267104	1
A0A0H2UNL0_E7DN98	27103053	1
A0A0H2UNL0_E7DNA8	27103053	1
A0A0H2UNP1_Q97NV3	19098921	1
A0A0H2UNP1_Q97Q68	19098921	1
A0A0H2UNP1_Q97SE5	19098921	1
A0A0H2UNP1_Q97SR4	19098921	1
A0A0H2UNP1_A0A0H2UNP1	19098921	1
A0A0H2UNS2_Q97PM1	23267104	1
A0A0H2UNW3_A0A0H2UQB7	23267104	1
A0A0H2UNW5_A0A0H2UQD6	23267104	1
A0A0H2UP05_A0A0H2UQX6	23267104	1
A0A0H2UP25_A0A0H2UQL5	23267104	1
A0A0H2UP48_E7DNB1	27103053	1
A0A0H2UP74_A0A0H2UQI3	23267104	1
A0A0H2UP89_A0A0H2URQ2	23267104	1
A0A0H2UPA1_P65582	23267104	1
A0A0H2UPA3_A0A0H2UQ34	23267104	1
A0A0H2UPC2_A0A0H2UPM2	23267104	1
A0A0H2UPE1_A0A0H2UR62	23267104	1
A0A0H2UPF2_A0A0H2UQP0	23267104	1
A0A0H2UPK7_A0A0H2URQ1	23267104	1
A0A0H2UPN3_Q97QT7	23267104	1
A0A0H2UPP8_Q38003	27103053	1
A0A0H2UPP8_Q38010	27103053	1
A0A0H2UPV6_P05382	23267104	1
A0A0H2UPY2_A0A0H2UR23	23267104	1
A0A0H2UPY3_P65946	19098921	1
A0A0H2UPY3_Q97NV3	19098921	1
A0A0H2UPY3_Q97NX6	19098921	1
A0A0H2UPY3_Q97SE5	19098921	1
A0A0H2UQ73_A0A0H2URA2	23267104	1
A0A0H2UQ84_E7DN95	27103053	1
A0A0H2UQ93_Q97SR4	23267104	1
A0A0H2UQB1_P67330	23267104	1
A0A0H2UQB7_A0A0H2USB7	23267104	1
A0A0H2UQB9_Q38011	27103053	1
A0A0H2UQC2_Q97NV6	23267104	1
A0A0H2UQF6_A0A0H2URR3	23267104	1
A0A0H2UQJ4_A0A0H2URZ6	23267104	1
A0A0H2UQN3_A0A0H2US45	23267104	1
A0A0H2UQQ5_A0A0H2UQV8	23267104	1
A0A0H2UQR2_E7DN73	27103053	1
A0A0H2UQS7_E7DNA8	27103053	1
A0A0H2UQU1_E7DN73	27103053	1
A0A0H2UQU4_A0A0H2UQY5	23267104	1
A0A0H2UQU9_E7DNA8	27103053	1
A0A0H2UQY5_E7DNC2	27103053	1
A0A0H2UQY5_E7DND6	27103053	1
A0A0H2UR43_P63895	23267104	1
A0A0H2UR82_E7DNA8	27103053	1
A0A0H2UR86_E7DNC2	27103053	1
A0A0H2UR87_E7DNC2	27103053	1
A0A0H2URA0_E7DN96	27103053	1
A0A0H2URF0_Q97NE3	23267104	1
A0A0H2URF8_A0A0H2US62	23267104	1
A0A0H2URF8_E7DNB2	27103053	1
A0A0H2URH3_Q97QD1	23267104	1
A0A0H2URH9_Q97QJ3	23267104	1
A0A0H2URK9_E7DN96	27103053	1
A0A0H2URL1_Q97RU8	23267104	1
A0A0H2URN5_P66444	23267104	1
A0A0H2URP5_Q97QD4	23267104	1
A0A0H2URW0_E7DN68	27103053	1
A0A0H2URY4_E7DN78	27103053	1
A0A0H2US55_A0A0H2US72	23267104	1
A0A0H2US80_E7DN93	27103053	1
A0A0H2US90_E7DNC4	27103053	1
A0A0H2USH2_E7DN98	27103053	1
A0A0H2USH2_E7DNA8	27103053	1
A0A0H2USI3_E7DN73	27103053	1
A0A0H2USI3_E7DN95	27103053	1
A0A0H2USI3_E7DNB2	27103053	1
A0A0H2ZEG5_A0A0H2ZEG5	22575651	1
A0A0H2ZLP5_A0A0H2ZMS4	21602335	1
A0A0H3C899_B8GW31	20802464	1
A0A0H3CAY8_A0A0H3CCF8	23201141	1
A0A0H3NA16_P60953	21566117	1
A0A0H3NB70_A0A0H3NG86	24090070	1
A0A0H3NB84_A0A0H3NKV4	19767440	1
A0A0H3NB84_A0A0H3NDF5	20140193	1
A0A0H3NDF5_A0A0H3NDF5	20140193	1
A0A0H3NDF5_A0A0H3NDL6	20140193	1
A0A0H3NDL6_P22059	21566117	1
A0A0H3NF38_O43684	21566117	1
A0A0H3NF38_Q9Y2Z0	21566117	1
A0A0H3NF38_Q9SUR9	23935490	1
A0A0H3NF38_Q9SUT5	23935490	1
A0A0H3NF38_Q9Y239	23935490	1
A0A0H3NF38_Q9Y2Z0	23935490	1
A0A0H3NHZ2_A0A0H3NVJ7	23302685	1
A0A0H3NI89_A0A0H3NKV1	21059960	1
A0A0H3NK16_A0A0H3NUZ2	21472855	1
A0A0H3NKV4_A0A0H3NPR5	19767440	1
A0A0H3NMJ6_Q6R5P0	23101627	1
A0A0H3NMJ6_Q9JLF7	23101627	1
A0A0H5BJW1_Q9YGY0	27098453	1
A0A140N890_A0A140N890	26555188	1
A0A142I9X8_F1M4A4	23245325	1
A0A8M2_P54824	17074753	1
A0A8M2_P21574	17074753	1
A0A8M2_Q8AV13	17074753	1
A0AEF5_W5IDC3	25896019	1
A0FDS8_E0WI15	18178731	1
A0FDS8_E0WIF7	18178731	1
A0MPS7_P06400	1331501	1
A0QP85_A0QP85	21972977	1
A0R2N3_A0R3R7	21637345	1
A0R2N3_A0R3S7	21637345	1
A0R561_P60281	19596241	1
A0SNQ7_P26233	17431396	1
A0SNQ7_P70062	17431396	1
A1A766_Q9NZJ4	19208651	1
A1C3L5_Q7WUF6	21965576	1
A1C3L7_Q7WUF6	21965576	1
A1C3L7_Q7WWK0	21965576	1
A1C3L9_A1C3M0	18083807	1
A1IMH9_B6UQB6	19454334	1
A1IMH9_B6UQB7	19454334	1
A1IMH9_E3P8T4	19454334	1
A1IMH9_E3P8T5	19454334	1
A1IMH9_Q5QSL2	19454334	1
A1JTB0_A1JTB1	19114483	1
A1L3G9_Q66KV4	19167377	1
A1L3G9_Q6NTS2	19167377	1
A1L3G9_P52301	25946333	1
A1L3K9_Q6IRB2	10976052	1
A1L3K9_Q90Z12	10976052	1
A1S3N8_P01317	21749650	1
A1YH68_P46116	25009246	1
A1Z651_A1Z651	22804908	1
A2CIR7_Q2QXL0	24919709	1
A2CIR7_Q69T21	24919709	1
A2CIR7_Q6F2N0	24919709	1
A2CIR7_Q6H434	24919709	1
A2T2X4_Q9FPW0	20435895	1
A2T2X4_Q946G4	20435895	1
A2T3M4_P13481	23576507	1
A2T3M4_Q7Z434	24643253	1
A2ZCS6_R9RU01	25024433	1
A2ZCS6_A2ZCS6	25024433	1
A3DPQ3_A3DPQ3	23279902	1
A4D8X6_Q53GL7	22176891	1
A4F2K9_Q86BW2	17376595	1
A4GRE3_P04233	17567581	1
A4NBN9_P04004	26538390	1
A5H447_Q91898	18297730	1
A5HNV6_P50244	17485680	1
A5J090_P51142	17476309	1
A5K5E5_P02730	26823170	1
A5PKP9_Q7T2V3	18021256	1
A5TZK3_A5TZK3	20178790	1
A5TZK3_A5TZK3	22306117	1
A5U0E5_A5U0E5	19820095	1
A5U7B6_A5U7B7	16416128	1
A6MW92_Q5MP56	18466309	1
A6Q0K5_P19824	24863370	1
A6Q0K5_P50362	24863370	1
A6QIR4_P0C7B4	17933891	1
A7GBG3_P63027	22172278	1
A7LH49_B5X4X0	25379383	1
A7LH49_B9UYM8	25379383	1
A7LH49_S5R2L7	25379383	1
A7TJH8_P16892	23953117	1
A7TR32_A7TR32	21784247	1
A7Y3Z3_Q96SB4	17360743	1
A8CSJ8_Q3KSS3	17446270	1
A8D8P8_H9JD76	23970546	1
A8D8P8_H9JD76	26919431	1
A8HN58_B8LIX8	21505417	1
A8I3X6_P05434	7579689	1
A8I4E9_M1V4Y8	23569216	1
A8I5C3_A8JDN3	7579689	1
A8IBS2_A8JH45	23864713	1
A8IBS2_Q7XA07	23864713	1
A8ICS9_A8J6X7	20421426	1
A8IPZ5_A8JF70	23747306	1
A8IPZ5_P27766	23747306	1
A8IPZ5_Q39578	23747306	1
A8ISA6_P05434	7579689	1
A8IV22_P05434	7579689	1
A8J1Z6_Q6RBZ0	23068615	1
A8J666_A8J6X7	20421426	1
A8J6X7_D4P3R7	20421426	1
A8JDN3_Q4AC22	7579689	1
A8JDN3_Q9SMH5	7579689	1
A8KBF3_Q7ZYV9	19713941	1
A8KBF3_Q90WE3	19713941	1
A8KBF3_Q98SP8	19713941	1
A8NRB3_A8NRB3	23711369	1
A8UKE6_Q8WWL7	12185076	1
