pair_id_clean	ida_clean	idb_clean	pubid	sources	is_directed	is_stimulation	is_inhibition	taxon	OmniPath_interactions
P67775_Q13873	P67775	Q13873	19339557	DEPOD	1	0	0	9606	1
P68400_Q13873	P68400	Q13873	16155937	phosphoELM	1	0	0	9606	1
O95476_Q13873	O95476	Q13873	17141153	Signor	1	0	1	9606	1
P62714_Q13873	P62714	Q13873	19339557	DEPOD	1	0	0	9606	1
Q13873_Q9HAU4	Q9HAU4	Q13873	22298955	Signor	1	0	1	9606	1
Q13253_Q13873	Q13253	Q13873	22298955	Signor;SignaLink3	1	0	1	9606	1
O95972_Q13873	O95972	Q13873	16446785	Signor;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
P51813_Q16611	P51813	Q16611	25649765	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P51813_Q16611	P51813	Q16611	23189150	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P51813_Q16611	P51813	Q16611	20959805	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P09327_P51813	P51813	P09327	15342783	phosphoELM	1	0	0	9606	1
P49789_P51813	P51813	P49789	2507541	phosphoELM	1	0	0	9606	1
P23258_Q14980	Q14980	P23258	11956313	Signor	1	1	0	9606	1
Q14980_Q9BQE3	Q14980	Q9BQE3	11956313	Signor	1	1	0	9606	1
P00519_Q14980	P00519	Q14980	22252550	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
Q13509_Q14980	Q14980	Q13509	11956313	Signor	1	1	0	9606	1
Q14980_Q71U36	Q14980	Q71U36	11956313	Signor	1	1	0	9606	1
Q13748_Q14980	Q14980	Q13748	11956313	Signor	1	1	0	9606	1
P07437_Q14980	Q14980	P07437	11956313	Signor	1	1	0	9606	1
Q14980_Q9NY65	Q14980	Q9NY65	11956313	Signor	1	1	0	9606	1
Q14980_Q9BUF5	Q14980	Q9BUF5	11956313	Signor	1	1	0	9606	1
P68371_Q14980	Q14980	P68371	11956313	Signor	1	1	0	9606	1
P68366_Q14980	Q14980	P68366	11956313	Signor	1	1	0	9606	1
Q14980_Q6PEY2	Q14980	Q6PEY2	11956313	Signor	1	1	0	9606	1
P68363_Q14980	Q14980	P68363	11956313	Signor	1	1	0	9606	1
P04350_Q14980	Q14980	P04350	11956313	Signor	1	1	0	9606	1
Q13885_Q14980	Q14980	Q13885	11956313	Signor	1	1	0	9606	1
Q14980_Q9UJT1	Q14980	Q9UJT1	11956313	Signor	1	1	0	9606	1
Q01094_Q16531	Q16531	Q01094	9418871	Signor	1	1	0	9606	1
P25054_Q16531	P25054	Q16531	21145461	SignaLink3	1	0	0	9606	1
P17612_Q16531	P17612	Q16531	25982117	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P10275_P41240	P41240	P10275	20623637	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	19369195	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	17045208	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	17494760	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	11404460	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	12015328	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	15239671	dbPTM;phosphoELM	1	0	0	9606	1
P10275_P41240	P41240	P10275	11156376	dbPTM;phosphoELM	1	0	0	9606	1
P30530_P41240	P30530	P41240	9178760	PhosphoPoint;MPPI	1	0	0	9606	1
P08727_P41240	P41240	P08727	10212274	phosphoELM	1	0	0	9606	1
P12956_P41240	P41240	P12956	15941674	phosphoELM	1	0	0	9606	1
P12956_P41240	P41240	P12956	10026262	phosphoELM	1	0	0	9606	1
P10276_P41240	P41240	P10276	15657432	phosphoELM	1	0	0	9606	1
P35222_P41240	P41240	P35222	11279024	dbPTM	1	0	0	9606	1
P13010_P41240	P41240	P13010	15941674	phosphoELM	1	0	0	9606	1
P13010_P41240	P41240	P13010	10026262	phosphoELM	1	0	0	9606	1
P13224_P41240	P41240	P13224	2504723	phosphoELM	1	0	0	9606	1
P09629_P41240	P41240	P09629	11290787	phosphoELM	1	0	0	9606	1
O60331_P41240	P41240	O60331	15738269	dbPTM	1	0	0	9606	1
P15941_P41240	P41240	P15941	14521915	dbPTM	1	0	0	9606	1
P15941_P41240	P41240	P15941	11152665	dbPTM	1	0	0	9606	1
P15941_P41240	P41240	P15941	11483589	dbPTM	1	0	0	9606	1
P15941_P41240	P41240	P15941	18083107	dbPTM	1	0	0	9606	1
P15941_P41240	P41240	P15941	17545600	dbPTM	1	0	0	9606	1
P41240_P46531	P41240	P46531	22479394	Signor	1	1	0	9606	1
P41240_Q05655	Q05655	P41240	9148770	phosphoELM	1	0	0	9606	1
P13569_P41240	P41240	P13569	1377674	phosphoELM	1	0	0	9606	1
P13569_P41240	P41240	P13569	14602047	phosphoELM	1	0	0	9606	1
P09917_P41240	P41240	P09917	16230355	phosphoELM	1	0	0	9606	1
P09917_P41240	P41240	P09917	11844797	phosphoELM	1	0	0	9606	1
P09917_P41240	P41240	P09917	15280375	phosphoELM	1	0	0	9606	1
P41240_Q96MU7	P41240	Q96MU7	15175272	SignaLink3	1	1	0	9606	1
P08913_P41240	P41240	P08913	11732925	phosphoELM	1	0	0	9606	1
P08913_P41240	P41240	P08913	7876239	phosphoELM	1	0	0	9606	1
P09543_P41240	P41240	P09543	10646504	phosphoELM	1	0	0	9606	1
P09417_P41240	P41240	P09417	8137944	phosphoELM	1	0	0	9606	1
Q12933_Q8IVH8	Q12933	Q8IVH8	10477597	Laudanna_effects;Laudanna_sigflow;MPPI;Wang	1	1	0	9606	1
Q12933_Q8IVH8	Q8IVH8	Q12933	10477597	PhosphoPoint;MPPI	1	0	0	9606	1
Q13233_Q8IVH8	Q8IVH8	Q13233	9820741	Signor;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
Q8IVH8_Q99759	Q8IVH8	Q99759		Laudanna_effects;Laudanna_sigflow;Wang	1	1	0	9606	1
Q8IVH8_Q99759	Q99759	Q8IVH8	9162092	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	1	0	9606	1
Q16539_Q8IVH8	Q8IVH8	Q16539	8622669	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	1	0	9606	1
Q8IVH8_Q9Y6R4	Q9Y6R4	Q8IVH8	9305639	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	1	0	9606	1
P07948_Q14790	P07948	Q14790	18086677	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P07948_P08047	P07948	P08047	14744793	phosphoELM	1	0	0	9606	1
P07948_Q9Y6R1	P07948	Q9Y6R1	11744745	phosphoELM	1	0	0	9606	1
P07948_P18433	P18433	P07948	15537644	DEPOD	1	0	0	9606	1
P07948_Q9Y6Y9	P07948	Q9Y6Y9	21918188	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P07948_P68400	P07948	P68400	12628006	MIMP;PhosphoNetworks;phosphoELM	1	0	0	9606	1
P07948_Q12913	Q12913	P07948	20345711	DEPOD	1	0	0	9606	1
P07948_P41143	P07948	P41143	11085981	phosphoELM	1	0	0	9606	1
P07948_P25490	P07948	P25490	26198631	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P07948_P11137	P07948	P11137	15536091	Laudanna_effects;PhosphoNetworks;phosphoELM;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
O43823_P07948	P07948	O43823	25770215	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P07948_Q13291	P07948	Q13291	15315965	Laudanna_effects;PhosphoSite;Laudanna_sigflow;MIMP;Signor;PhosphoNetworks;phosphoELM;Wang	1	1	0	9606	1
O14920_P07948	P07948	O14920	26353931	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
O14920_P07948	P07948	O14920	20450893	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
O14920_P07948	P07948	O14920	12707358	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
O14920_P07948	P07948	O14920	12645577	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
O14920_P07948	P07948	O14920	24386391	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
P07948_Q13370	P07948	Q13370	17255105	phosphoELM	1	0	0	9606	1
P07948_Q13370	P07948	Q13370	8163498	phosphoELM	1	0	0	9606	1
P07948_Q13370	P07948	Q13370	8626720	phosphoELM	1	0	0	9606	1
P07948_Q71U36	P07948	Q71U36	7678277	CA1;Laudanna_sigflow	1	1	0	9606	1
O60711_P07948	P07948	O60711	17640867	dbPTM	1	0	0	9606	1
O60711_P07948	P07948	O60711	20543562	dbPTM	1	0	0	9606	1
P07948_P11168	P07948	P11168	8626492	phosphoELM	1	0	0	9606	1
P07948_P30443	P07948	P30443	6333425	phosphoELM	1	0	0	9606	1
P07948_P30443	P07948	P30443	2941417	phosphoELM	1	0	0	9606	1
P07948_P31995	P07948	P31995	8756631	Laudanna_effects;PhosphoSite;PhosphoNetworks;Laudanna_sigflow;phosphoELM;Wang	1	1	0	9606	1
P10275_Q13043	Q13043	P10275	21512132	dbPTM	1	0	0	9606	1
O15519_P10275	P10275	O15519	15731171	SPIKE	1	1	0	9606	1
P10275_P19793	P10275	P19793	15650026	SignaLink3	1	1	0	9606	1
P10275_P19793	P19793	P10275	15650026	SignaLink3	1	1	0	9606	1
P10275_Q9HBE1	P10275	Q9HBE1	11719514	Laudanna_effects;CancerCellMap;Laudanna_sigflow	1	0	0	9606	1
P10275_Q9HBE1	Q9HBE1	P10275	11719514	Laudanna_effects;CancerCellMap;Laudanna_sigflow;Wang	1	0	0	9606	1
P05783_P10275	P10275	P05783	17721441	SPIKE	1	1	0	9606	1
P10275_P45983	P45983	P10275	16282370	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P45983	P45983	P10275	12015328	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P45983	P45983	P10275	23945560	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P45983	P45983	P10275	7565807	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P45983	P45983	P10275	23321516	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P45983	P45983	P10275	15239671	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P45983	P45983	P10275	15684382	Laudanna_effects;PhosphoSite_dir;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P10275_P17936	P10275	P17936	16825320	SPIKE	1	1	0	9606	1
O43293_P10275	O43293	P10275	18084323	Laudanna_effects;Laudanna_sigflow;SPIKE;Wang	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	21799006	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	15684382	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	25982277	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	24441043	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	17043241	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	17698582	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	25851605	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	22014572	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	11396978	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	25691442	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q00535	Q00535	P10275	17325038	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P10275_Q13794	P10275	Q13794	17721441	SPIKE	1	1	0	9606	1
P08253_P10275	P10275	P08253	16888681	SPIKE	1	1	0	9606	1
