pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_interactions
P67775_Q13873	P67775	Q13873	19339557	9606	1
P68400_Q13873	P68400	Q13873	16155937	9606	1
O95476_Q13873	O95476	Q13873	17141153	9606	1
P62714_Q13873	P62714	Q13873	19339557	9606	1
Q13873_Q9HAU4	Q9HAU4	Q13873	22298955	9606	1
Q13253_Q13873	Q13253	Q13873	22298955	9606	1
O95972_Q13873	O95972	Q13873	16446785	9606	1
P51813_Q16611	P51813	Q16611	25649765	9606	1
P51813_Q16611	P51813	Q16611	23189150	9606	1
P51813_Q16611	P51813	Q16611	20959805	9606	1
P09327_P51813	P51813	P09327	15342783	9606	1
P49789_P51813	P51813	P49789	2507541	9606	1
P23258_Q14980	Q14980	P23258	11956313	9606	1
Q14980_Q9BQE3	Q14980	Q9BQE3	11956313	9606	1
P00519_Q14980	P00519	Q14980	22252550	9606	1
Q13509_Q14980	Q14980	Q13509	11956313	9606	1
Q14980_Q71U36	Q14980	Q71U36	11956313	9606	1
Q13748_Q14980	Q14980	Q13748	11956313	9606	1
P07437_Q14980	Q14980	P07437	11956313	9606	1
Q14980_Q9NY65	Q14980	Q9NY65	11956313	9606	1
Q14980_Q9BUF5	Q14980	Q9BUF5	11956313	9606	1
P68371_Q14980	Q14980	P68371	11956313	9606	1
P68366_Q14980	Q14980	P68366	11956313	9606	1
Q14980_Q6PEY2	Q14980	Q6PEY2	11956313	9606	1
P68363_Q14980	Q14980	P68363	11956313	9606	1
P04350_Q14980	Q14980	P04350	11956313	9606	1
Q13885_Q14980	Q14980	Q13885	11956313	9606	1
Q14980_Q9UJT1	Q14980	Q9UJT1	11956313	9606	1
Q01094_Q16531	Q16531	Q01094	9418871	9606	1
P25054_Q16531	P25054	Q16531	21145461	9606	1
P17612_Q16531	P17612	Q16531	25982117	9606	1
P10275_P41240	P41240	P10275	20623637	9606	1
P10275_P41240	P41240	P10275	19369195	9606	1
P10275_P41240	P41240	P10275	17045208	9606	1
P10275_P41240	P41240	P10275	17494760	9606	1
P10275_P41240	P41240	P10275	11404460	9606	1
P10275_P41240	P41240	P10275	12015328	9606	1
P10275_P41240	P41240	P10275	15239671	9606	1
P10275_P41240	P41240	P10275	11156376	9606	1
P30530_P41240	P30530	P41240	9178760	9606	1
P08727_P41240	P41240	P08727	10212274	9606	1
P12956_P41240	P41240	P12956	15941674	9606	1
P12956_P41240	P41240	P12956	10026262	9606	1
P10276_P41240	P41240	P10276	15657432	9606	1
P35222_P41240	P41240	P35222	11279024	9606	1
P13010_P41240	P41240	P13010	15941674	9606	1
P13010_P41240	P41240	P13010	10026262	9606	1
P13224_P41240	P41240	P13224	2504723	9606	1
P09629_P41240	P41240	P09629	11290787	9606	1
O60331_P41240	P41240	O60331	15738269	9606	1
P15941_P41240	P41240	P15941	14521915	9606	1
P15941_P41240	P41240	P15941	11152665	9606	1
P15941_P41240	P41240	P15941	11483589	9606	1
P15941_P41240	P41240	P15941	18083107	9606	1
P15941_P41240	P41240	P15941	17545600	9606	1
P41240_P46531	P41240	P46531	22479394	9606	1
P41240_Q05655	Q05655	P41240	9148770	9606	1
P13569_P41240	P41240	P13569	1377674	9606	1
P13569_P41240	P41240	P13569	14602047	9606	1
P09917_P41240	P41240	P09917	16230355	9606	1
P09917_P41240	P41240	P09917	11844797	9606	1
P09917_P41240	P41240	P09917	15280375	9606	1
P41240_Q96MU7	P41240	Q96MU7	15175272	9606	1
P08913_P41240	P41240	P08913	11732925	9606	1
P08913_P41240	P41240	P08913	7876239	9606	1
P09543_P41240	P41240	P09543	10646504	9606	1
P09417_P41240	P41240	P09417	8137944	9606	1
Q12933_Q8IVH8	Q12933	Q8IVH8	10477597	9606	1
