pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_ptm
P68400_Q13873	P68400	Q13873	16155937	9606	1
P51813_Q05397	P51813	Q05397		9606	1
P51813_Q05397	Q05397	P51813		9606	1
P51813_Q06187	Q06187	P51813	12573241	9606	1
P51813_Q06187	Q06187	P51813	11331870	9606	1
P12931_P51813	P12931	P51813	10688651	9606	1
P51813_Q16611	P51813	Q16611		9606	1
P51813_Q96T51	P51813	Q96T51	11877430	9606	1
P09327_P51813	P51813	P09327	15342783	9606	1
P51813_P56945	P51813	P56945		9606	1
P49789_P51813	P51813	P49789	2507541	9606	1
P42680_P51813	P42680	P51813	12573241	9606	1
P42680_P51813	P42680	P51813		9606	1
P51813_Q08881	Q08881	P51813		9606	1
O14965_Q14980	O14965	Q14980		9606	1
P06493_Q14980	P06493	Q14980		9606	1
P00519_Q14980	P00519	Q14980		9606	1
P17612_Q16531	P17612	Q16531		9606	1
P07948_P41240	P41240	P07948	9171348	9606	1
P07948_P41240	P41240	P07948		9606	1
P10275_P41240	P41240	P10275	12015328	9606	1
P10275_P41240	P41240	P10275	15239671	9606	1
P10275_P41240	P41240	P10275	11404460	9606	1
P10275_P41240	P41240	P10275	11156376	9606	1
P10275_P41240	P41240	P10275	17045208	9606	1
P10275_P41240	P41240	P10275	20623637	9606	1
P10275_P41240	P41240	P10275	17494760	9606	1
P10275_P41240	P41240	P10275	19369195	9606	1
P08575_P41240	P41240	P08575	7507203	9606	1
P08727_P41240	P41240	P08727	10212274	9606	1
P12956_P41240	P41240	P12956	15941674	9606	1
P12956_P41240	P41240	P12956	10026262	9606	1
P10276_P41240	P41240	P10276	15657432	9606	1
P12931_P41240	P41240	P12931	19534553	9606	1
P12931_P41240	P41240	P12931	19369195	9606	1
P12931_P41240	P41240	P12931	12468645	9606	1
P12931_P41240	P41240	P12931	7525268	9606	1
P12931_P41240	P41240	P12931		9606	1
P35222_P41240	P41240	P35222	11279024	9606	1
P13010_P41240	P41240	P13010	15941674	9606	1
P13010_P41240	P41240	P13010	10026262	9606	1
