pair_id	pmid	imex	reactome	tm_epmc	iid_pred	noncur_prot
P31151_Q86SG5	22747601	0	1	1	1	1
Q9H1C4_Q9NR97	22164301	0	1	1	1	1
P04222_P43632	19858347	0	1	1	1	1
P30504_P43632	19858347	0	1	1	1	1
O75077_Q8N135	18974846	0	1	1	1	1
O75078_O95970	18974846	0	1	1	1	1
O75078_Q8N135	18974846	0	1	1	1	1
Q8N135_Q9P0K1	18974846	0	1	1	1	1
O43914_Q9NZC2	11602640	0	1	1	1	1
O60880_Q96DU3	11489943	0	1	1	1	1
P00533_Q13882	26751287	0	1	1	1	0
Q01831_Q92466	26042670	0	1	1	1	0
Q15633_Q9UKV8	25793518	0	1	1	1	0
P23025_Q01831	25154395	0	1	1	1	0
Q01831_Q92466	25154395	0	1	1	1	0
Q96RF0_Q9Y5X1	25107275	0	1	1	1	0
P00533_Q99952	25081058	0	1	1	1	0
P04626_Q99952	25081058	0	1	1	1	0
O15287_Q9BXW9	24905007	0	1	1	1	0
O15360_Q8IYD8	24905007	0	1	1	1	0
O15360_Q9BXW9	24905007	0	1	1	1	0
Q00597_Q8NB91	24905007	0	1	1	1	0
Q00597_Q9BXW9	24905007	0	1	1	1	0
Q00597_Q9HB96	24905007	0	1	1	1	0
Q00597_Q9NW38	24905007	0	1	1	1	0
Q8IYD8_Q9BXW9	24905007	0	1	1	1	0
Q9BXW9_Q9NVI1	24905007	0	1	1	1	0
Q9BXW9_Q9NW38	24905007	0	1	1	1	0
Q96EP0_Q9BYM8	24726323	0	1	1	1	0
Q96EP0_Q9H0F6	24726323	0	1	1	1	0
Q9BYM8_Q9H0F6	24726323	0	1	1	1	0
Q9BXW9_Q9NVI1	24623813	0	1	1	1	0
Q9BXW9_Q9NW38	24623813	0	1	1	1	0
Q9NPD8_Q9NVI1	24623813	0	1	1	1	0
Q9BXW9_Q9NW38	24389026	0	1	1	1	0
O15315_Q06609	24141787	0	1	1	1	0
O43543_Q06609	24141787	0	1	1	1	0
O75771_Q06609	24141787	0	1	1	1	0
P51587_Q06609	24141787	0	1	1	1	0
P01375_Q13546	24098568	0	1	1	1	0
P01375_Q9NQC7	24098568	0	1	1	1	0
Q13546_Q9NQC7	24098568	0	1	1	1	0
P28749_Q16254	24096481	0	1	1	1	0
Q08999_Q16254	24096481	0	1	1	1	0
O43318_Q15750	23825189	0	1	1	1	0
O43318_Q9UMW8	23825189	0	1	1	1	0
P55854_Q6ZNA4	23751493	0	1	1	1	0
P61956_Q6ZNA4	23751493	0	1	1	1	0
Q13535_Q8WXE1	23723247	0	1	1	1	0
Q13535_Q9BXW9	23723247	0	1	1	1	0
Q9BXW9_Q9NVI1	23723247	0	1	1	1	0
Q14457_Q8NEB9	23685627	0	1	1	1	0
P27361_P28482	23575685	0	1	1	1	0
O60934_Q99708	23468639	0	1	1	1	0
Q13315_Q99708	23468639	0	1	1	1	0
Q13190_Q9H9E3	23462996	0	1	1	1	0
O43303_Q8IW35	23400999	0	1	1	1	0
A5YKK6_P78543	23236473	0	1	1	1	0
O75175_P78543	23236473	0	1	1	1	0
P78543_Q9UFF9	23236473	0	1	1	1	0
P78543_Q9UIV1	23236473	0	1	1	1	0
Q09161_Q13838	23222130	0	1	1	1	0
P09874_Q16531	23045548	0	1	1	1	0
P09874_Q92466	23045548	0	1	1	1	0
P62877_Q92466	23045548	0	1	1	1	0
Q01831_Q92466	23045548	0	1	1	1	0
Q13619_Q92466	23045548	0	1	1	1	0
Q16531_Q92466	23045548	0	1	1	1	0
P06493_P20700	22986494	0	1	1	1	0
P15927_P27694	22977173	0	1	1	1	0
P15927_P35244	22977173	0	1	1	1	0
P15927_P49959	22977173	0	1	1	1	0
P15927_Q13315	22977173	0	1	1	1	0
P15927_Q13535	22977173	0	1	1	1	0
Q13315_Q13535	22977173	0	1	1	1	0
P01375_Q13546	22848449	0	1	1	1	0
P01375_Q9NQC7	22848449	0	1	1	1	0
P19438_Q12933	22848449	0	1	1	1	0
P19438_Q13546	22848449	0	1	1	1	0
Q12933_Q13546	22848449	0	1	1	1	0
Q13546_Q9NQC7	22848449	0	1	1	1	0
P38398_Q99708	22792074	0	1	1	1	0
P38398_Q9BX63	22792074	0	1	1	1	0
P01130_Q8NBP7	22764087	0	1	1	1	0
P15692_P35968	22689825	0	1	1	1	0
P35968_Q9NP31	22689825	0	1	1	1	0
P78527_Q13426	22529269	0	1	1	1	0
P01375_P78536	22479555	0	1	1	1	0
P20226_Q16594	22441827	0	1	1	1	0
P26358_Q96T88	22348533	0	1	1	1	0
P01375_P19438	22297296	0	1	1	1	0
P01375_Q13546	22297296	0	1	1	1	0
P01375_Q15628	22297296	0	1	1	1	0
P01375_Q9NQC7	22297296	0	1	1	1	0
P19438_Q13546	22297296	0	1	1	1	0
P19438_Q15628	22297296	0	1	1	1	0
Q13546_Q9NQC7	22297296	0	1	1	1	0
Q9BXW9_Q9NVI1	22287633	0	1	1	1	0
Q9BXW9_Q9NW38	22287633	0	1	1	1	0
P16104_Q13315	22234877	0	1	1	1	0
P16104_Q14676	22234877	0	1	1	1	0
Q13315_Q14676	22234877	0	1	1	1	0
O60934_Q13315	22231403	0	1	1	1	0
O60934_Q99708	22231403	0	1	1	1	0
P24941_Q99708	22231403	0	1	1	1	0
Q8IZL8_Q9H4L4	22190735	0	1	1	1	0
Q8IZL8_Q9Y4W2	22190735	0	1	1	1	0
Q9H4L4_Q9Y4W2	22190735	0	1	1	1	0
P01375_P19438	22179575	0	1	1	1	0
P01375_Q12933	22179575	0	1	1	1	0
P01375_Q13546	22179575	0	1	1	1	0
P19438_Q12933	22179575	0	1	1	1	0
P19438_Q13546	22179575	0	1	1	1	0
Q12933_Q13546	22179575	0	1	1	1	0
O15455_Q9H1C4	22164301	0	1	1	1	0
Q9H1C4_Q9NR96	22164301	0	1	1	1	0
Q9H1C4_Q9NYK1	22164301	0	1	1	1	0
P63027_Q9BV40	22118466	0	1	1	1	0
Q15836_Q9BV40	22118466	0	1	1	1	0
O75400_P09012	22110043	0	1	1	1	0
O95999_Q9UDY8	21966355	0	1	1	1	0
O14662_O75379	21807881	0	1	1	1	0
O43752_O75379	21807881	0	1	1	1	0
P00519_P43351	21804533	0	1	1	1	0
O15169_O95271	21799911	0	1	1	1	0
P06748_P49450	21768289	0	1	1	1	0
P49450_Q8NCD3	21768289	0	1	1	1	0
P49450_Q96H22	21768289	0	1	1	1	0
O15455_Q13158	21737330	0	1	1	1	0
O15455_Q13546	21737330	0	1	1	1	0
O15455_Q8IUC6	21737330	0	1	1	1	0
O15519_Q13158	21737330	0	1	1	1	0
