pmid	imex	reactome	tm_epmc	iid_pred	noncur_prot
8751446	0	1	0	0	0
11717445	0	1	0	1	0
15781469	0	1	0	1	0
9465049	0	1	0	1	0
16980583	0	1	0	1	0
16311595	0	1	0	0	0
22252318	0	1	0	0	0
9106657	0	1	0	1	0
11940607	0	1	0	0	0
16762923	0	1	0	0	1
2118650	0	1	0	1	0
22065755	0	1	0	1	0
10209122	0	1	0	1	0
6305978	0	1	0	0	0
7954831	0	1	0	0	1
18373495	0	1	0	1	1
9242610	0	1	0	0	0
18508557	0	1	0	1	0
21596315	0	1	0	1	0
20713735	0	1	0	1	0
8662784	0	1	0	1	1
21229555	0	1	0	0	1
9822602	0	1	0	1	0
18812509	0	1	0	0	1
291969	0	1	0	0	0
239860	0	1	0	1	0
10984059	0	1	0	0	0
9295285	0	1	0	0	1
9575168	0	1	0	1	0
16140923	0	1	0	1	0
16940185	0	1	0	1	0
21496642	0	1	0	1	0
2833496	0	1	0	1	0
15260972	0	1	0	0	0
24219363	0	1	0	0	0
20162351	0	1	0	1	1
18227514	0	1	0	1	1
18724939	0	1	0	0	0
19345684	0	1	0	1	0
17418785	0	1	0	0	0
11877257	0	1	0	1	1
8505331	0	1	0	0	1
18077588	0	1	0	1	0
8894645	0	1	0	1	0
15182363	0	1	0	1	0
23955340	0	1	0	0	0
11470803	0	1	0	1	0
24056413	0	1	0	0	0
16982608	0	1	0	1	0
12205098	0	1	0	1	0
16926190	0	1	0	1	0
10903204	0	1	0	0	1
12072436	0	1	0	1	0
18818105	0	1	0	1	0
17116749	0	1	0	0	0
12808096	0	1	0	0	1
11048639	0	1	0	0	0
14615605	0	1	0	1	0
19015319	0	1	0	1	0
16280981	0	1	0	0	1
2388630	0	1	0	0	0
16477002	0	1	0	1	0
15193131	0	1	0	1	0
21316585	0	1	0	0	0
11557983	0	1	0	0	0
19651769	0	1	0	1	0
12150926	0	1	0	1	0
7479976	0	1	0	1	0
21646718	0	1	0	1	1
9705341	0	1	0	1	0
20951943	0	1	0	0	0
15574327	0	1	0	1	0
17412408	0	1	0	0	0
10749680	0	1	0	1	0
24979766	0	1	0	0	0
23150669	0	1	0	0	0
9425908	0	1	0	0	0
8617742	0	1	0	0	0
21252990	0	1	0	1	0
15950618	0	1	0	0	1
2995821	0	1	0	0	0
7543319	0	1	0	1	0
2937147	0	1	0	0	0
18721752	0	1	0	0	0
11909966	0	1	0	0	0
10934472	0	1	0	1	1
11360177	0	1	0	0	0
9425908	0	1	0	1	0
22188813	0	1	0	0	0
21135142	0	1	0	0	0
18591661	0	1	0	0	0
16546209	0	1	0	1	0
17897391	0	1	0	0	1
23150874	0	1	0	1	0
10825200	0	1	0	0	1
9405293	0	1	0	1	0
12426310	0	1	0	0	0
21483489	0	1	0	0	1
19188366	0	1	0	0	0
9279753	0	1	0	0	1
