pmid	imex	reactome	tm_epmc	iid_pred	noncur_prot
22926059	0	0	1	1	1
23300529	0	0	1	0	1
26147687	0	0	1	0	0
25742010	0	0	1	1	0
27308354	0	0	1	0	0
21900492	0	0	1	0	1
21818277	0	0	1	0	0
24688304	0	0	1	1	0
24392163	0	0	1	0	0
25360797	0	0	1	0	1
26760502	0	0	1	1	0
24040095	0	0	1	0	1
21986938	0	0	1	0	0
22207579	0	0	1	0	0
20842112	0	0	1	1	0
22731636	0	0	1	0	0
23096115	0	0	1	1	0
27109047	0	0	1	0	0
20404115	0	0	1	1	0
24361124	0	0	1	0	0
26700459	0	0	1	0	0
23724047	0	0	1	0	1
26320173	0	0	1	1	0
25816367	0	0	1	0	0
26541268	0	0	1	0	0
25515237	0	0	1	0	0
27545878	0	0	1	0	0
28060722	0	0	1	1	0
24349009	0	0	1	0	0
25365359	0	0	1	1	0
23349666	0	0	1	0	0
27619510	0	0	1	1	0
22792320	0	0	1	1	1
23844208	0	0	1	0	0
23733784	0	0	1	0	0
23806657	0	0	1	0	0
23902727	0	0	1	0	0
27129219	0	0	1	0	1
22567123	0	0	1	0	0
24204564	0	0	1	0	0
24584857	0	0	1	0	0
21572106	0	0	1	0	0
25719671	0	0	1	0	0
23996525	0	0	1	1	0
26416881	0	0	1	0	0
25834832	0	0	1	0	0
27274716	0	0	1	1	1
26918455	0	0	1	0	0
25531315	0	0	1	0	0
25716318	0	0	1	1	0
25072851	0	0	1	0	0
27897222	0	0	1	0	0
18332182	0	0	1	0	1
26702435	0	0	1	1	0
16582100	0	0	1	0	0
25312253	0	0	1	0	0
23691243	0	0	1	0	0
21931555	0	0	1	0	1
27486982	0	0	1	0	0
12235127	0	0	1	1	0
25823818	0	0	1	0	0
26243517	0	0	1	0	0
28039457	0	0	1	1	1
28051183	0	0	1	0	0
25306110	0	0	1	0	0
22768871	0	0	1	1	0
28212564	0	0	1	0	0
23895055	0	0	1	1	0
25961827	0	0	1	0	0
25970784	0	0	1	0	0
24143245	0	0	1	0	0
24879641	0	0	1	1	0
27313062	0	0	1	1	0
26517239	0	0	1	1	0
25756178	0	0	1	0	0
20861162	0	0	1	0	0
27055101	0	0	1	0	0
27982078	0	0	1	1	0
16859511	0	0	1	0	0
27902969	0	0	1	0	0
27932493	0	0	1	0	0
17375192	0	0	1	1	0
25002860	0	0	1	0	0
27456665	0	0	1	0	0
18606856	0	0	1	1	0
26265185	0	0	1	0	0
26355076	0	0	1	1	0
25887124	0	0	1	0	0
25336618	0	0	1	0	0
25950582	0	0	1	1	0
10704455	0	0	1	1	0
12235215	0	0	1	1	1
24510189	0	0	1	1	0
25510503	0	0	1	0	0
26848522	0	0	1	0	1
27270970	0	0	1	0	0
22583596	0	0	1	0	0
23637832	0	0	1	0	0
22629427	0	0	1	0	1
