prot_pairs	pmids	p1	p2	DS.interest.up	DS.part_interest.up	DS.score.pred	miscore_before	miscore_after	diff	set
O00165_Q9BRX2	20406461	O00165	Q9BRX2	1	11	0	0	0.65951437	0.65951437	dsp
O00401_Q9UQB8	21311754	O00401	Q9UQB8	19	67	5	0.5472612	0.5472612	0	dsp
O00444_O94986	26188084	O00444	O94986	5	17	0	0.91609687	0.9449939	0.0288970300000001	dsp
O00444_Q15468	26188084	O00444	Q15468	5	17	0	0	0.66275555	0.66275555	dsp
O00444_Q8TEP8	26188084	O00444	Q8TEP8	5	17	0	0.70986414	0.7810567	0.0711925600000001	dsp
O14744_Q9BQA1	26763441	O14744	Q9BQA1	1	9	0	0.93459624	0.95958376	0.02498752	dsp
O15455_Q9H1C4	19451267|22164301	O15455	Q9H1C4	3	3	0	0	0.40116468	0.40116468	dsp
O15455_Q9H1C4	19451267|22164301	O15455	Q9H1C4	1	1	0	0	0.40116468	0.40116468	dsp
O43353_Q9HC29	21931826	O43353	Q9HC29	5	14	0	0.64138633	0.73374414	0.09235781	dsp
O60341_P51532	28420882	O60341	P51532	2	10	0	0	0.53722185	0.53722185	dsp
O60341_Q92922	28420882	O60341	Q92922	2	10	0	0	0.53722185	0.53722185	dsp
O60563_O94992	18281698	O60563	O94992	12	22	0	0.78545356	0.83305	0.04759644	dsp
O60563_Q4G0J3	18281698	O60563	Q4G0J3	12	22	0	0.34505215	0.5968954	0.25184325	dsp
O60603_P58753	21829704	O60603	P58753	31	61	0	0.36784992	0.36784992	0	dsp
O75164_P11308	27109047	O75164	P11308	0	0	0	0	0.54351985	0.54351985	dsp
O75385_P42345	21072212|26348909	O75385	P42345	7	10	0	0.70177794	0.70177794	0	dsp
O75385_P42345	21072212|26348909	O75385	P42345	7	12	0	0.70177794	0.70177794	0	dsp
O75385_P54646	21072212	O75385	P54646	7	10	0	0.40116468	0.5892287	0.18806402	dsp
O75385_Q8N122	21072212|26348909	O75385	Q8N122	7	10	0	0.49853906	0.49853906	0	dsp
O75385_Q8N122	21072212|26348909	O75385	Q8N122	7	12	0	0.49853906	0.49853906	0	dsp
O75385_Q9Y478	21072212	O75385	Q9Y478	7	10	0	0.34505215	0.64138633	0.29633418	dsp
O75398_P12956	22442688	O75398	P12956	2	8	1	0	0.57639056	0.57639056	dsp
O75398_P13010	22442688	O75398	P13010	2	8	1	0	0.34505215	0.34505215	dsp
O75398_P78527	22442688	O75398	P78527	2	8	1	0	0.40116468	0.40116468	dsp
O75821_Q9BRX2	20406461	O75821	Q9BRX2	1	11	0	0	0.64982754	0.64982754	dsp
O94992_Q4G0J3	18281698	O94992	Q4G0J3	12	22	0	0.6225892	0.7367702	0.114181	dsp
O95801_P08238	18320024	O95801	P08238	3	10	2	0.34505215	0.6817846	0.33673245	dsp
O95801_Q99741	18320024	O95801	Q99741	3	10	2	0	0.48226535	0.48226535	dsp
P00519_Q03468	17626041	P00519	Q03468	2	20	0	0	0.6552797	0.6552797	dsp
P00533_P03372	21951318	P00533	P03372	15	68	3	0.655641	0.655641	0	dsp
P00533_P23470	25970784	P00533	P23470	2	4	0	0	0.40116468	0.40116468	dsp
P00533_Q92731	21951318	P00533	Q92731	15	68	3	0	0.49853906	0.49853906	dsp
P00747_Q8N4S9	26822058	P00747	Q8N4S9	0	0	0	0	0.5435199	0.5435199	dsp
