pmid	curator	curatable	curator_comment	prot_pairs	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred	prot_ac
10725339				P00533_Q14289|P04049_P27361|P04049_P29323|P04049_P55085|P04049_Q9NWF4|P27361_P55085|P27361_Q14289|P27361_Q9NWF4|P29323_P55085|P29323_Q9NWF4|P49407_P55085|P55085_Q14289|Q14289_Q9NWF4	no (Q9NWF4)	part	yes		no	no	no	no	no	no	yes	part	no	no	part	no	no	yes	part	no	no	part	part	P04049
25970784				O95433_P23470|P00533_P05231|P00533_P10145|P00533_P15692|P00533_P23470|P19367_P23470|P23470_P46108|P23470_Q9NV58|P23470_Q9Y2S7	no (Q9NV58)	no	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P15692
25622105				P06730_Q16665|P06730_Q9H0Z9|P38936_Q9H0Z9|P49841_Q9H0Z9|Q16665_Q9BYW2|Q16665_Q9H0Z9	no (Q9H0Z9)	no	yes	REMSA data	no	no	no	no	no	no	yes	part	no	no	no	no	no	yes	part	no	no	no	no	P49841
24877091				P49715_Q9C0B1	no (Q9C0B1)	no	yes	ChIP data	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	no	Q9C0B1
21478866				P11473_P12931|P11473_P37231|P11473_Q15788|P11473_Q7Z353|P11473_Q93038|P11473_Q9UBH6|P12931_Q7Z353|Q15788_Q7Z353	no (Q93038,Q9UBH6)	part	yes	not curated yet	no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P37231
15479736				A0A0S2Z4I5_Q07955|A0A0S2Z4I5_Q59FA2|P11387_Q07955|P11387_Q59FA2|P26599_Q9HD26|P27918_Q07955|P27918_Q59FA2|Q07955_Q9BVT2|Q59FA2_Q9BVT2|Q8NDV1_Q8WYA6	no (Q8NDV1)	part	yes	colocalization	no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	no	part	P11387
11106648				A8K3M3_Q8IXH8|B4DSN5_Q8IXH8|P06213_P18031|P18031_P49759|P18031_Q8IXH8	no (Q8IXH8)	part	yes		no	no	no	no	no	no	no	no	yes	part	part	no	no	no	no	yes	part	part	part	P06213
27448983				O14745_Q86UG4|O14745_Q99527|P03372_Q99527|P78352_Q99527	no (Q86UG4,Q99527)	part	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	no	part	P78352
20660630				P31749_Q53ET0|P31749_Q86UG4|Q53ET0_Q86UG4	no (Q86UG4)	part	yes	not curated yet	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	part	no	P31749
26848522				O43716_P15692|O43716_P15976|O43716_Q00403|O43716_Q8WTS6|P15692_P15976|P15692_Q00403|P15692_Q8WTS6|P15976_Q86UG4|P15976_Q8WTS6|Q86UG4_Q8WTS6	no (Q86UG4)	part	yes	not curated yet	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	no	P15692
