Pubmed	Owner	Status	Admin Users	Admin Groups	
21680713	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19451267	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
25970784	intact	RELEASED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
27135603	intact	RELEASED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
26186728	PMDaemon	NEW		IMEX CURATORS
22363791	intact	RELEASED	mgt	INTACT,IMEX CURATORS
22403301	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
28338009	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
25436971	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
23717538	PMDaemon	NEW		IMEX CURATORS
27144523	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
28128295	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
25888394	intact	RELEASED	ADMIN,marta	ADMIN,MINT,INTACT CURATORS,IMEX CURATORS
24286029	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
24960069	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19654328	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21295084	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
10811835	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
10725339	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21845024	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21896202	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
12793901	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20977782	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26763441	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
22792074	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
27109047	intact	RELEASED	liviap	INTACT,IMEX CURATORS
20526328	intact	RELEASED	ADMIN,liviap	ADMIN,DIP,IMEX CURATORS
27489114	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26700459	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
24391497	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
28212564	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26678046	intact	RELEASED	phantom,liviap	INTACT,IMEX CURATORS
19142223	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
20808826	PMDaemon	NEW		IMEX CURATORS
9199170	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22118466	skerrien	RELEASED	ADMIN,orchard	ADMIN,INTACT,IMEX CURATORS
28176834	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
20032497	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26188084	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
18545641	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20631154	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
7538916	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18373870	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19275766	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22069553	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17726518	PMDaemon	NEW		IMEX CURATORS
16254078	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22662208	PMDaemon	NEW		IMEX CURATORS
26388957	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22164301	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
22581777	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
28054986	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21949655	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27626412	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
24349009	PMDaemon	NEW		IMEX CURATORS
21189951	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19440051	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20179161	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
18541028	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18825269	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21062517	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18154660	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16826513	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21595920	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19255644	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
28457889	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22069485	PMDaemon	NEW		IMEX CURATORS
24587385	PMDaemon	NEW		IMEX CURATORS
24498420	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
26822058	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
21478866	Sara	RESERVED	ADMIN,Sara	ADMIN,DIP,IMEX CURATORS
23650557	PMDaemon	NEW		IMEX CURATORS
25713299	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
23733784	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27026929	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27075683	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26259872	intact	RELEASED	ADMIN,phantom,liviap	ADMIN,INTACT,IMEX CURATORS
25659151	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
26666268	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
24943846	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
24466240	PMDaemon	NEW		IMEX CURATORS
23799914	intact	RELEASED	ADMIN,orchard	ADMIN,INTACT,IMEX CURATORS
23770684	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
25996149	PMDaemon	NEW		IMEX CURATORS
26775664	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
