pmid	curator	curatable	curator_comment	prot_pairs	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred
24939902				P12004_P28340|P12004_P49005|P12004_Q09472|P12004_Q92793|P55055_Q92793|P55055_Q9NWQ8|Q8NFU3_Q92793|Q8NFU3_Q9NWQ8|Q92793_Q92793|Q92793_Q9NWQ8	no (Q8NFU3)	part	yes		no	no	yes	part	yes	part	yes	part	no	no	part	no	no	no	no	no	no	part	part
11777942				A0A024R7C7_A0A024RAM0|A0A024R7C7_Q92973|A0A024R7C7_Q9HAV4|A0A024RAM0_Q12906|A0A140VJU7_Q9HAV4|B3KWD0_Q9HAV4|B7ZAV2_Q9HAV4|C9J020_Q9HAV4|D3DSZ4_Q9HAV4|G3V2J7_P23769|O14980_Q9HAV4|P19525_Q9HAV4|P23769_Q16667|P35658_Q9HAV4|P49790_Q9HAV4|P62826_Q9HAV4|Q12906_Q92973|Q12906_Q9HAV4|Q86UG4_Q9HAV4|Q8IW76_Q9HAV4|Q9C0E2_Q9HAV4	no (Q86UG4,Q9C0E2,Q9HAV4)	part	yes		no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	part	part
24424410				O43765_P46379|O43765_Q92995|P0CG48_P45974|P11441_Q92995|P11441_Q9UKV5|P45974_P57678|P45974_P78344|P45974_Q92995|P46379_Q92995|P46379_Q9UKV5|P55072_Q92995|P55072_Q9BQE4|P57678_Q92995|P60604_Q9UKV5|P78344_Q92995|Q7L5D6_Q92995|Q7L5D6_Q9UKV5|Q86UG4_Q92995|Q92995_Q9UKV5	no (Q86UG4,Q92995)	part	yes		no	no	yes	part	yes	part	yes	part	no	no	part	no	no	no	no	no	no	no	part
20457750				A0A024RE06_B4DND2|A0A024RE06_Q53H47|A0A024RE06_Q96H41|A0A0C4DGV9_B4DND2|A0A0C4DGV9_Q53H47|A0A0C4DGV9_Q96H41|A8K8Q4_B4DND2|A8K8Q4_Q53H47|A8K8Q4_Q96H41|A8K9G6_B4DND2|A8K9G6_Q53H47|A8K9G6_Q96H41|B4DND2_J3KN39|B4DND2_P12004|B4DND2_P49917|B4DND2_Q99638|B4DND2_Q9H668|B4DND2_Q9NX02|J3KN39_Q53H47|J3KN39_Q96H41|O60671_P16104|O60671_Q53H47|O60921_P16104|O60921_Q53H47|P11388_Q53H47|P12004_Q53H47|P12004_Q96H41|P16104_P55042|P16104_Q53H47|P49917_Q53H47|P49917_Q96H41|P55042_Q53H47|Q53H47_Q99638|Q53H47_Q9H668|Q53H47_Q9NX02|Q96H41_Q99638|Q96H41_Q9H668|Q96H41_Q9NX02	no (Q53H47)	part	yes		no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	no	no
19487455				A0A024R9Y6_A0A087WVR4|A0A024R9Y6_B4DFJ1|A0A024R9Y6_O14746|A0A024R9Y6_P01106|A0A024R9Y6_P54274|A0A024R9Y6_Q9BSI4|A0A024R9Y6_Q9HD26|A0A087WVR4_B4DFJ1|A0A087WVR4_P54274|A0A087WVR4_Q05DU1|A0A087WVR4_Q9BSI4|A0A087WVR4_Q9NVN8|A0A140VJU7_P54274|B4DFJ1_P01106|B4DFJ1_P54274|B4DFJ1_Q05DU1|B4DFJ1_Q9NVN8|C9J020_P54274|D3DSZ4_P54274|O14746_P54274|O14746_Q05DU1|O14746_Q9NVN8|P01106_P54274|P01106_Q05DU1|P01106_Q9BSI4|P01106_Q9NVN8|P29590_P54274|P29590_Q9H4A4|P29590_Q9NVN8|P54274_P54274|P54274_Q05DU1|P54274_Q13823|P54274_Q5T0F3|P54274_Q86UG4|P54274_Q9BSI4|P54274_Q9BVP2|P54274_Q9HD26|P54274_Q9NVN8|P54274_Q9UKT5|Q05DU1_Q9BSI4|Q05DU1_Q9HD26|Q86UG4_Q9BSI4|Q86UG4_Q9NVN8|Q9BSI4_Q9NVN8|Q9BVP2_Q9NVN8|Q9HD26_Q9NVN8|Q9NVN8_Q9UKT5	no (Q13823,Q86UG4,Q9H4A4)	part	yes		no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	part	part
21385873				A0A140G945_B4DV00|A0A140G945_B4DV51|A0A140G945_O14744|A0A140G945_O43660|A0A140G945_P62826|A0A140G945_Q8WWY3|A0A140G945_Q99459|A0A140G945_Q9UMS4|A0A140VJU7_B7Z752|A0A140VJU7_O60218|A0A140VJU7_Q14974|A0A140VJU7_Q8WYA6|A9QM74_B7Z752|A9QM74_Q14974|A9QM74_Q8WYA6|B3KXZ2_Q8WYA6|B4DV00_E9PHE4|B4DV00_O43660|B4DV00_P02489|B4DV00_Q8WWY3|B4DV00_Q99459|B4DV00_Q9UMS4|B4DV51_E9PHE4|B4DV51_P02489|B7Z752_C9J020|B7Z752_D3DSZ4|B7Z752_Q86UG4|B7Z752_Q8WYA6|C9J020_O60218|C9J020_Q14974|C9J020_Q8WYA6|D3DSZ4_O60218|D3DSZ4_Q14974|D3DSZ4_Q8WYA6|E9PHE4_O14744|E9PHE4_O43660|E9PHE4_P62826|E9PHE4_Q8WWY3|E9PHE4_Q99459|E9PHE4_Q9UMS4|O14744_O43660|O14744_P02489|O14744_Q8WWY3|O14744_Q8WYA6|O14744_Q99459|O14744_Q9UMS4|O43660_P02489|O43660_P52292|O43660_P52294|O43660_Q8WWY3|O43660_Q8WYA6|O43660_Q99459|O43660_Q9UMS4|O60218_Q86UG4|P02489_P62826|P02489_Q8WWY3|P02489_Q99459|P02489_Q9UMS4|P06748_Q8WYA6|P34932_Q8WYA6|P42224_Q8WYA6|P52292_Q8WWY3|P52292_Q8WYA6|P52292_Q9UMS4|P52294_Q8WWY3|P52294_Q8WYA6|P52294_Q9GZX7|P52294_Q9UMS4|P62805_Q8WYA6|P68133_Q8WYA6|Q14498_Q8WYA6|Q14974_Q86UG4|Q14974_Q8WYA6|Q86UG4_Q8WYA6|Q8WWY3_Q8WYA6|Q8WWY3_Q99459|Q8WWY3_Q9UMS4|Q8WYA6_Q99459|Q8WYA6_Q9BQA1|Q8WYA6_Q9GZX7|Q8WYA6_Q9NR30|Q8WYA6_Q9UMS4|Q99459_Q9UMS4	no (P68133,Q86UG4)	part	yes		no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	part	part
19234442				O00213_P16104|O00213_P45983|P16104_P20848|P16104_P26599|P16104_P45983|P16104_P49959|P16104_Q13315|P16104_Q13535|P16104_Q14676|P16104_Q8WX80|P16104_Q92878|P16104_Q99502|P16104_Q99504|P16104_Q9H6X2|P16104_Q9UKA9	no (P20848,Q99504,Q9UKA9)	part	yes		yes	part	yes	part	yes	part	yes	part	no	no	part	no	no	yes	part	no	no	part	part
20231902				A0A087WZ06_B0LPE5|A0A087WZ06_B3KVH4|A0A087WZ06_P31749|A0A087WZ06_Q6ZTQ3|B0LPE5_Q13188|B3KVH4_Q13188|P04049_Q13188|P05019_Q13188|P08842_Q13188|P31749_Q13188|P31751_Q13188|Q13188_Q6ZTQ3|Q13188_Q9Y243	no (P08842)	part	yes		no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	yes	part	yes	part	part	part
19893624				A0A024QZ09_A6NHG8|A0A024QZ09_Q13114|A0A024QZ09_Q7Z434|A0A024QZU0_A0A0S2Z4B7|A0A024QZU0_A0A0S2Z4C9|A0A024QZU0_Q99643|A0A024R8H5_Q7Z434|A0A024RDH2_O00206|A0A024RDH2_Q9NR96|A0A0S2Z4B7_Q13546|A0A0S2Z4C9_Q13546|A6NHG8_Q12774|A6NHG8_Q15311|A6NHG8_Q15628|A6NHG8_Q96G74|D6RAH7_O00206|D6RAH7_Q9NR96|O00206_P61077|O95786_P01574|O95786_P60174|O95786_Q12774|O95786_Q13114|O95786_Q96D42|P01375_Q13114|P01574_P60174|P01574_Q12774|P01574_Q96D42|P25942_Q13114|P60174_Q13114|P60174_Q7Z434|P61077_Q9NR96|Q12774_Q13114|Q12774_Q7Z434|Q12933_Q7Z434|Q13114_Q15311|Q13114_Q15628|Q13114_Q7Z434|Q13114_Q96D42|Q13114_Q96G74|Q13114_Q9NWF9|Q13114_Q9UHD2|Q13546_Q99643|Q14653_Q14653|Q6ZNK6_Q7Z434|Q7Z434_Q96D42|Q7Z434_Q96G74|Q7Z434_Q9UHD2|Q96G74_Q9UHD2	no (P01574,Q6ZNK6,Q96D42,Q96G74,Q99643,Q9NR96)	part	yes		no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	part	part
20174559				A0A024RBB7_Q9UHD2|A0A0A0MRZ4_P01375|A0A0A0MRZ4_Q5STB3|A0A0A0MRZ4_Q96CV9|A0A140VJU7_Q96CV9|A6NHG8_Q96CV9|A8K4N4_P01375|A8K4N4_Q5STB3|A8K4N4_Q96CV9|B7Z240_Q96CV9|B7Z2V4_Q9UHD2|B7Z8K2_P01375|B7Z8K2_Q5STB3|B7Z8K2_Q96CV9|C9J020_Q96CV9|D3DSZ4_Q96CV9|F5H4R6_Q9UHD2|F8W543_Q9UHD2|O14786_P01574|O15455_Q96CV9|O15455_Q9UHD2|O95786_Q96CV9|P01375_Q15025|P01375_Q96CV9|P01574_P55209|P01574_Q96CV9|P01574_Q9UHD2|P29320_Q96CV9|P42566_Q96CV9|P55209_Q9UHD2|Q13114_Q96CV9|Q13114_Q9UHD2|Q14653_Q96CV9|Q15025_Q5STB3|Q15025_Q96CV9|Q5STB3_Q96CV9|Q86UG4_Q96CV9|Q96CV9_Q9UHD2|Q9H2B0_Q9UHD2	no (P01574,P29320,Q86UG4)	part	yes	not curated yet	no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	part	part
19343227				A0A0A0MRG2_B7Z4M9|A0A0A0MRG2_O00213|A0A0A0MRG2_P26599|A0A0A0MRG2_Q9UMN6|A0A140VJC8_B7Z4M9|A0A140VJC8_O00213|A0A140VJC8_P26599|A0A140VJC8_Q9UMN6|A5PL27_Q92562|B4DGD0_B7Z4M9|B4DGD0_O00213|B4DGD0_P26599|B4DGD0_Q9UMN6|B4DJT9_B7Z4M9|B4DJT9_O00213|B4DJT9_P26599|B4DJT9_Q9UMN6|B7Z3P7_Q63HK5|B7Z4M9_E9PG40|B7Z4M9_O15379|B7Z4M9_P05067|B7Z4M9_P26599|B7Z4M9_P49662|B7Z4M9_Q13547|B7Z4M9_Q63HK5|B7Z4M9_Q6IT96|B7Z4M9_Q9UMN6|E9PG40_O00213|E9PG40_P26599|E9PG40_Q9UMN6|O00213_O15379|O00213_P05067|O00213_P26599|O00213_P49662|O00213_Q01105|O00213_Q02363|O00213_Q13547|O00213_Q63HK5|O00213_Q6IT96|O00213_Q6ZSZ6|O00213_Q9NRE2|O00213_Q9UMN6|P00450_Q92562|P05067_P26599|P05067_Q9UMN6|P26599_Q6FII1|P26599_Q9UMN6|P26599_Q9Y2Q3|P49662_Q63HK5|Q13547_Q63HK5|Q63HK5_Q92769|Q63HK5_Q9UKV0	no (P00450,P49662,Q6ZSZ6)	part	yes	ChIP data	no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	part	part
