pmid	curator	curatable	curator_comment	prot_pairs	relevance	DS.interest	DS.part_interest	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred
21680713	sandra	Yes	Not done - human-xenopus interactions	P48729_Q9HAW4|Q8N752_Q9HAW4	2.10705846364915	0	0	no (Q8N752)	no	yes		no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	no
19451267	mgt	yes-but mouse	n/d	O15455_Q9H1C4|Q9H1C4_Q9NR96|Q9H1C4_Q9NR97|Q9H1C4_Q9NYK1	7.61099038670683	3	3	no (Q9NR96,Q9NR97,Q9NYK1)	part	yes		no	no	no	no	no	no	yes	part	no	no	yes	yes	yes	no	no	no	no	yes	yes
25970784	mgt	yes	one IP only	O95433_P23470|P00533_P05231|P00533_P10145|P00533_P15692|P00533_P23470|P19367_P23470|P23470_P46108|P23470_Q9NV58|P23470_Q9Y2S7	4.68912416108953	2	4	no (Q9NV58)	no	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part
27135603	mgt	yes	done	O00463_Q9UHD2|P01375_Q12933|P01375_Q13114|P01375_Q92844|P01375_Q9UHD2|P01730_Q9UHD2|Q12933_Q9UHD2|Q12933_Q9Y6W8|Q13114_Q9UHD2|Q13114_Q9Y6W8|Q92844_Q9UHD2|Q92844_Q9Y6W8|Q9UHD2_Q9Y6W8	4.29238513727187	8	13	no (Q9Y6W8)	no			no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part
26186728	mgt	yes - but mouse	nd-mouse	O95433_P10747|O95433_P43403|P10747_P46108|P10747_Q9NV58|P10747_Q9Y2S7|P43403_P46108|P43403_Q9NV58|P43403_Q9Y2S7	3.55571856392165	2	8	no (Q9NV58)	no	yes	not curated yet	no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	no	part
22363791	mgt	yes -but not for Q9Y6P5	done	P42345_P58004|P42345_Q9Y6P5|P54619_P58004|P54646_P58004|P54646_Q9Y6P5|P58004_Q15831|P58004_Q9Y478|Q9Y478_Q9Y6P5	3.47193377429939	0	0	no (Q9Y6P5)	part	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	no	no
22403301	mgt	no- mouse	ch-IP only	P14672_P56524|P14672_Q9UQL6|P56524_Q02078|P56524_Q9NR83|P56524_Q9UQL6	3.07372282149025	2	5	no (Q9NR83)	part	yes	ChIP data	no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part
28338009	mgt	no	emsa only	O95433_P01375|O95433_P05362|P01375_P21579|P01375_P46108|P01375_P54646|P01375_Q9NV58|P01375_Q9Y2S7|P01375_Q9Y478|P05362_P46108|P05362_P54646|P05362_Q9NV58|P05362_Q9Y2S7|P05362_Q9Y478|P54646_Q96EB6|Q96EB6_Q9Y478	2.78973100186012	1	4	no (Q9NV58)	no	yes	EMSA	no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	no	part
25436971	mgt	yes - but mouse	not done~3 human publications found,pmids:27135603,16951355,11956294,18641334	O43439_O75347|O43439_P01730|O43439_P10451|O43439_Q9Y6W8|O75347_P10451|O75347_Q14155|P01730_P10451|P01730_Q14155|P01730_Q9Y6W8|P10451_Q14155|P10451_Q9Y6W8|Q14155_Q9Y6W8	1.64098009904913	1	7	no (Q9Y6W8)	no	yes		no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	part
23717538	mgt	no-mouse		O95433_P09601|P09601_P35228|P09601_P46108|P09601_Q9NV58|P09601_Q9Y2S7	1.12933748413556	1	5	no (Q9NV58)	no	yes	EMSA	no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	no	part
