pmid	contains_interactions	correct_pairs	curator	set
150091	no		Mgt|Pablo	last.dsp.prio
978134	no		Mgt	
1469047	Yes		Mgt	last.dsp.prio
2147944	no		Luana	
7538916	No		Sandra	last.dsp.prio
7796400	no	no	Kalpana	last.dsp.prio
7806582	yes	yes	Mgt	
8609172	yes	no	Mgt	
8707857	yes		Pablo	
9024699	yes		Pablo	
9151903	no		Pablo	
9199170	yes	yes	Mgt|Sandra	last.dsp.prio
9412458	yes	no	Mgt	
9472046	yes	yes|no	Mgt	
9490716	yes	no	Mgt	
9625584	no	no	Kalpana	last.dsp.prio
9625766	yes	yes	Luana	
9647643	yes	yes	Mgt	
9687524	no		Pablo	
10037799	no	no	Simona	
10049942	yes	yes	Luana	
10224278	yes	yes	Simona	
10225955	yes	no	Simona	
10499918	yes	no	Simona|Luana	
10601333	yes	yes	Simona	
10601358	yes		Pablo	
10637280	no		Luana	
10662779	no		Luana	
10682496	No		Nancy Campbell	last.dsp.prio
10704444	yes	no	Simona	
10725331	yes	yes|no	Simona	
10725339	yes	yes	Simona|livia	last.dsp.prio
10747099	yes		Luana	
10751599	no	no	Kalpana	last.dsp.prio
10769018	yes	no	Simona	
10811835	yes	yes|no	Simona|livia	last.dsp.prio
10871282	yes	no	Simona	
10880522	yes		Pablo	
10899904	no		Luana	
11015444	no		Pablo	
11018049	yes	yes	Simona	
11259577	yes	yes	Kalpana	last.dsp.prio
11331308	yes	yes	Kalpana|Simona	last.dsp.prio
11381079	yes		Luana	
11489943	yes	yes	Luana	
11535616	yes	yes	Simona	
11581317	no		Pablo	
11602640	yes	yes	Luana	
11739401	yes	yes	Simona	
11748249	yes	yes	Simona	
11839770	yes	yes	Simona	
11927603	yes	yes	Simona	
11927604	yes		Luana	
11956229	no		Livia	last.dsp.prio
11956289	yes		Luana	
11956293	yes		Luana	
12021313	no		Livia	last.dsp.prio
12021315	yes- but relevance to DSP?		Mgt	last.dsp.prio
12070132	yes	yes	Simona	
12124177	yes		Prisca	last.dsp.prio
12213837	yes		Pablo	
12235127	no		Livia	last.dsp.prio
12392597	no		Luana	
12427871	yes- but relevance to DSP?		Mgt	last.dsp.prio
12438421	no		Pablo	
12509223	Yes		Sandra	last.dsp.prio
12556241	No		Mgt	last.dsp.prio
12615900	no		Luana	
12615911	yes		Luana	
12629052	yes		Luana	
12756238	yes		Luana	
12793901	no		livia	last.dsp.prio
12810700	no	no	Simona	
12810851	no		Luana	
12874265	yes	yes|no	Simona	
12904255	yes		Livia	last.dsp.prio
