pmid	method_term_simple
25719671	parclip
25719671	iclip
25719671	par-clip
25719671	clip
25751603	clip-seq
25751603	clip
25107276	clip
25599992	iclip
25798051	clip
25807494	clip
25799984	iclip
25799984	clip
25887447	clip-seq
25937813	clip
25738367	clip
25830480	par-clip
25501392	clip
26054396	clip-seq
26054396	iclip
26054396	par-clip
26054396	clip
25968143	clip
26147748	clip
26099751	clip-seq
26099751	hits-clip
26099751	clip
26144867	clip
26138755	clip
10748235	clip
11304549	clip
26170170	par-clip
26170170	clip
26207626	clip-seq
11901196	clip
12208877	clip
26273616	iclip
26273616	clip
26282582	clip-seq
26308709	par-clip
26267306	clip
26378449	clip
26392272	iclip
26135269	clip-seq
26416966	clip
26438828	clip
26180087	clip
25826659	par-clip
26578876	clip
26446990	clip
26523832	clip
26512958	clip-seq
26234680	clip-seq
26234680	clip
26612539	hits-clip
26612539	clip
26400176	iclip
26265008	clip
26573160	clip-seq
26632259	iclip
26687677	iclip
26687677	hits-clip
26687677	clip
26542021	clip
26670661	clipseq
26253738	par-clip
26757825	clip-seq
26758068	hits-clip
26758068	clip
26867678	clip-seq
26867678	clip
26883116	clip-seq
26883116	clip
26744779	iclip
26744779	clip-seq
26744779	clip seq
26744779	hits-clip
26744779	clip
26905650	par-clip
26467480	iclip
26467480	clip-seq
26467480	par-clip
26467480	hits-clip
26467480	clip
26981553	clip
27014269	clip
26250109	clip
18283108	clip
26975663	clip
26894958	hits clip
26894958	hits-clip
26894958	clip
26982091	par-clip
26506418	clip-seq
26506418	iclip
26506418	par-clip
26506418	clash
26506418	hits-clip
27029405	par-clip
27063795	clip
26920219	clip
27147820	clip-seq
27147820	clip
27146458	clip-seq
27146458	clip
27462443	par-clip
27161996	clip-seq
27161996	clip
27180681	clip-seq
27180681	clipseq
27180681	clip
26837572	parclip
26837572	clip-seq
26837572	clip
27084933	clip-seq
27222809	clipseq
27222809	clip-seq
27222809	clip
27121842	clip-seq
27121842	clip
26282675	hits-clip
27139489	clip
27018577	iclip
27018577	clip-seq
27018577	par-clip
27018577	hits-clip
27018577	clip
27248496	clip
27301426	clip
27292025	clip-seq
27292025	par-clip
27292025	clip
26930719	clip
27111890	clip
27375925	clip
27223325	hits-clip
27223325	clip
26455324	clip-seq
27380775	iclip
27380775	hits-clip
27380775	clip
27378374	clip-seq
27378374	clip
