pmid	method_term_simple
16452299	clip
17298186	clip
17254342	clip
16954346	clip
11581285	clip
15631994	clip
15381688	clip
12446741	clip
12119357	clip
10748235	clip
11304549	clip
11901196	clip
12208877	clip
18283108	clip
18841201	clip
19114595	clip
19289791	clip
19753306	clip
19849849	clip
20020036	clip
20195518	clip
20519438	clip
20862255	par-clip
20886068	clip
20820776	clip
20876279	clip
20604745	clip
20736999	clip
21087992	par-clip
21087992	clip
21423632	clip
21062807	clip
21358643	clip-seq
21358643	hits-clip
21358643	clip
21358640	iclip
21358640	clip
21695110	clip
21646404	clip
21355037	clip
21876675	clip-seq
21784845	clip
22039412	clip
22027593	iclip
22355723	hits-clip
22355723	clip
22275869	clip
21984414	clip
22246437	clip
21851591	par-clip
21851591	clip
22432029	clip
22121224	clip
22266872	par-clip
22185628	clip
22792276	clip
22492509	clip-seq
22851317	clip
22927820	hits-clip
22927820	clip
22934129	iclip
22934129	par-clip
22952165	clip
22436691	iclip
22436691	clip
23152763	iclip
23209433	iclip
23209433	clip
23166358	clip
23235829	par-clip
23235829	clip
23267015	clip
23383270	clip
23093590	clip-seq
23376935	par-clip
23376935	clip
23555284	clip
22619362	iclip
22619362	clip
23555757	clip
23212959	clip
23497397	clip
23585894	iclip
23374342	clip-seq
23374342	iclip
23519609	clip
23519609	iclip
23652583	clip
23717203	clip
23737738	clip-seq
23737738	clip
23785412	clip
23874216	clip-seq
23677615	par-clip
23925123	hits-clip
23925123	clip
23976922	clip
22983564	clip-seq
24046358	hits-clip
23926118	clip
24190431	clip
23770886	par-clip
23770886	clip
23912945	hits-clip
24385945	clip
24424413	clip
24395885	iclip
24395885	clip-seq
24395885	hits-clip
24395885	clip
24146352	clip
24316715	par-clip
24407421	par-clip
24516400	par-clip
24516400	clip
24440503	parclip
24234443	clip
24521543	par-clip
24413189	cross linking immunoprecipitation
24413189	clip
24183664	par-clip
24522885	clip
24624118	clip
24487322	clip
24353314	clip-seq
24353314	clip
24622240	clip-seq
24622240	clip
24675841	clip
24478452	clip
24743923	par-clip
24748121	clip
24608041	hits-clip
24608041	clip
24156637	clip-seq
24719334	clip
24682828	iclip
24842991	clip-seq
24842991	clip
24865846	clip
24748659	iclip
24748659	clip
24787618	clip-seq
24787618	clip
24886643	clip
24393468	par-clip
24393486	iclip
24393486	clip-seq
24393486	par-clip
24393486	clip
24401661	par-clip
24401661	clip
23409723	par-clip
23409723	clip
24398258	iclip
24398258	clip-seq
24398258	par-clip
24398258	hits-clip
24401680	par-clip
24792162	clip
24898756	hits-clip
24898756	clip
24766723	iclip
24440982	clip
25311506	clip
25354590	iclip
25294838	clip
25413013	clip
25412662	clip-seq
25412662	par-clip
25572935	clip-seq
25572935	par-clip
25572935	clip
25594007	clip-seq
25601191	clipseq
25644378	clip
25680182	iclip
25737835	clip
25738498	clip
25751255	par-clip
25719671	parclip
25719671	iclip
25719671	par-clip
25719671	clip
25751603	clip-seq
25751603	clip
25107276	clip
25599992	iclip
25798051	clip
25807494	clip
25799984	iclip
25799984	clip
25887447	clip-seq
25738367	clip
25830480	par-clip
25501392	clip
26054396	clip-seq
26054396	iclip
26054396	par-clip
26054396	clip
25968143	clip
26147748	clip
26099751	clip-seq
26099751	hits-clip
26099751	clip
26144867	clip
26138755	clip
26170170	par-clip
26207626	clip-seq
26273616	iclip
26273616	clip
26282582	clip-seq
26308709	par-clip
26267306	clip
26378449	clip
26392272	iclip
26135269	clip-seq
26416966	clip
26438828	clip
26180087	clip
25826659	par-clip
26578876	clip
26446990	clip
26523832	clip
26512958	clip-seq
26234680	clip-seq
26234680	clip
26612539	hits-clip
26612539	clip
26400176	iclip
26265008	clip
26632259	iclip
26687677	iclip
26687677	hits-clip
26687677	clip
26542021	clip
26670661	clipseq
26253738	par-clip
26757825	clip-seq
26758068	hits-clip
26758068	clip
26867678	clip-seq
26867678	clip
26883116	clip-seq
26883116	clip
26744779	iclip
26744779	clip-seq
26744779	clip seq
26744779	hits-clip
26744779	clip
26905650	par-clip
26467480	iclip
26467480	clip-seq
26467480	par-clip
26467480	hits-clip
26467480	clip
26981553	clip
27014269	clip
26250109	clip
26975663	clip
26998427	par-clip
26894958	hits clip
26894958	hits-clip
26894958	clip
26982091	par-clip
26506418	clip-seq
26506418	par-clip
26506418	hits-clip
26506418	iclip
26506418	clash
27029405	par-clip
27063795	clip
26920219	clip
27147820	clip-seq
27147820	clip
27146458	clip-seq
27146458	clip
27161996	clip-seq
27161996	clip
27180681	clip-seq
27180681	clipseq
27180681	clip
26837572	parclip
26837572	clip-seq
26837572	clip
27084933	clip-seq
27222809	clipseq
27222809	clip-seq
27222809	clip
27121842	clip-seq
27121842	clip
26282675	hits-clip
27139489	clip
27018577	clip-seq
27018577	iclip
27018577	par-clip
27018577	hits-clip
27018577	clip
27248496	clip
27301426	clip
26930719	clip
27111890	clip
27375925	clip
27223325	hits-clip
27223325	clip
26455324	clip-seq
27380775	iclip
27380775	hits-clip
27380775	clip
27378374	clip-seq
27378374	clip
27075229	clip
27438086	clip
27371828	clip-seq
27371828	clip
27096301	clip-seq
27096301	clip
27415424	clip-seq
27415424	par-clip
27415424	hits-clip
27415424	clip
27510448	iclip
27510448	par-clip
27178967	iclip
27541140	clip-seq
27541140	par-clip
27541140	hits-clip
27541140	clip
27481129	clip
27353330	clip
27378784	par-clip
27378784	hits-clip
27378784	clip
27558897	par-clip
