input_up	Organism ID
Q09161	9606
P51946	9606
P13984	9606
P35269	9606
P62487	9606
P50613	9606
P30876	9606
P62875	9606
P36954	9606
P51948	9606
Q92759	9606
P52434	9606
P52435	9606
Q9Y5B0	9606
P52298	9606
P61218	9606
O15514	9606
P19388	9606
P19387	9606
P24928	9606
Q6ZYL4	9606
P19447	9606
P32780	9606
P18074	9606
P53803	9606
Q13888	9606
Q13889	9606
D3ZHE6	10116
P62859	10116
P62755	10116
P62752	10116
P09895	10116
D3ZEI0	10116
D3ZJT4	10116
P62268	10116
D3ZI60	10116
F1LYI5	10116
P62856	10116
P62853	10116
F1LWX2	10116
D3ZK34	10116
D3ZB50	10116
M0R665	10116
D4A2M8	10116
D3ZMK3	10116
D3ZRM9	10116
Q71TY3	10116
P41123	10116
P62250	10116
P62864	10116
D3ZFW0	10116
M0RBB0	10116
F1M8C7	10116
F1M4V2	10116
F1M577	10116
M0R633	10116
D3ZSE0	10116
E9PT76	10116
P62243	10116
M0R4B7	10116
F1M8D1	10116
D3ZXU8	10116
M0R4B6	10116
D3ZDV6	10116
D3ZK18	10116
F1LXZ6	10116
D3ZFF1	10116
F1LSW7	10116
D3Z8Q4	10116
P62986	10116
M0R542	10116
P62982	10116
D3ZY63	10116
P19944	10116
M0R7X2	10116
P19945	10116
P63326	10116
M0RB32	10116
D3ZZK1	10116
D3ZWV1	10116
F1M764	10116
M0R7I6	10116
P62718	10116
P62890	10116
D4A9Q3	10116
M0R4L4	10116
D4A7I3	10116
D4A9C8	10116
F1LX53	10116
P39032	10116
F1LTE7	10116
D3ZAK6	10116
P21531	10116
F1LYF3	10116
Q05474	10116
D3ZRI8	10116
D3ZN79	10116
P05765	10116
F1M2R8	10116
F1M2R6	10116
D3ZVI3	10116
P02401	10116
D4A6G6	10116
H7C5Y5	10116
F1LT36	10116
D4A136	10116
F1LQS3	10116
D3ZMI8	10116
F1M346	10116
D4A783	10116
M0R7W1	10116
D3ZVH2	10116
D4A6W6	10116
D3ZJE2	10116
P62083	10116
F1M682	10116
F1LTW8	10116
D3ZGS7	10116
F1LQ14	10116
P29314	10116
F7FLF2	10116
B2RZD4	10116
Q6TUH8	10116
D3ZVY6	10116
D3ZVW1	10116
M0R6H9	10116
B0BN81	10116
F1M5B1	10116
D3ZF36	10116
F1M395	10116
D4AAJ3	10116
M0R7M1	10116
P17074	10116
M0R5V2	10116
D4A9G1	10116
D4A290	10116
F1LVJ5	10116
P17078	10116
D3ZPR5	10116
F1M3I7	10116
D4A4D5	10116
F1LU36	10116
F1M2E9	10116
F1LWL3	10116
P63174	10116
D4A883	10116
Q6PDW1	10116
D4A888	10116
D4A495	10116
F1M0T2	10116
D3Z7Z0	10116
P62909	10116
P62703	10116
D3ZUD7	10116
P62907	10116
D3ZG03	10116
D3ZG05	10116
D3ZD02	10116
D4A072	10116
F1LUV7	10116
M0R5K8	10116
D4A3G6	10116
D4A7X3	10116
M0R7K0	10116
D3ZI04	10116
F1M6C2	10116
D3ZCN9	10116
Q6PDV6	10116
Q6PDV7	10116
P62278	10116
P62275	10116
M0R407	10116
D3ZB85	10116
P62271	10116
D3ZHP8	10116
D4A829	10116
P23358	10116
F1M2L7	10116
M0R9I8	10116
D3ZN03	10116
D3ZIV1	10116
D4A5I5	10116
D3ZDA3	10116
P62912	10116
P62282	10116
P61928	10116
Q6P3V9	10116
M0R8E7	10116
P62919	10116
P62914	10116
M0R954	10116
M0R825	10116
P83883	10116
D3ZLL8	10116
M0R3Q3	10116
F1MA00	10116
D4A7B1	10116
D4AAX0	10116
P84100	10116
D3ZXA2	10116
