Entry	input_up	Organism ID
A0A021WW32	A0A021WW32	7227
A0A021WW37	A0A021WW37	7227
A0A021WWX0	A0A021WWX0	7227
A0A021WZA4	A0A021WZA4	7227
A0A023GPJ1	A0A023GPJ1	7227
A0A023GPV6	A0A023GPV6	7227
A0A023GQ04	A0A023GQ04	7227
A0A023GQ97	A0A023GQ97	7227
A0A023GRW3	A0A023GRW3	7227
A0A023GRW4	A0A023GRW4	7227
A0A023GRW5	A0A023GRW5	10116
A0A023IKK2	A0A023IKK2	10116
A0A023SGM0	A0A023SGM0	7227
A0A023T778	A0A023T778	10090
A0A024A091	A0A024A091	5833
A0A024E3A5	A0A024E3A5	7227
A0A044PYG0	A0A044PYG0	8364
A0A060CSP1	A0A060CSP1	5833
A0A060CSP8	A0A060CSP8	5833
A0A060CSQ5	A0A060CSQ5	5833
A0A060CSR3	A0A060CSR3	5833
A0A060CSZ7	A0A060CSZ7	5833
A0A060CT08	A0A060CT08	5833
A0A060CT13	A0A060CT13	5833
A0A060CT17	A0A060CT17	5833
A0A060CT35	A0A060CT35	5833
A0A060CT43	A0A060CT43	5833
A0A060CT48	A0A060CT48	5833
A0A060CT59	A0A060CT59	5833
A0A060CT63	A0A060CT63	5833
A0A060CT89	A0A060CT89	5833
A0A060CW53	A0A060CW53	5833
A0A060CW59	A0A060CW59	5833
A0A060CW66	A0A060CW66	5833
A0A060CWG2	A0A060CWG2	5833
A0A060CWK0	A0A060CWK0	5833
A0A060CWM5	A0A060CWM5	5833
A0A060CWN9	A0A060CWN9	5833
A0A060CWP4	A0A060CWP4	5833
A0A060CWQ3	A0A060CWQ3	5833
A0A060CWQ8	A0A060CWQ8	5833
A0A060CWR0	A0A060CWR0	5833
A0A060CWR5	A0A060CWR5	5833
A0A060CX06	A0A060CX06	5833
A0A060CX13	A0A060CX13	5833
A0A060CX35	A0A060CX35	5833
A0A060CX62	A0A060CX62	5833
A0A060CXB2	A0A060CXB2	5833
A0A060D1I9	A0A060D1I9	5833
A0A060D1J7	A0A060D1J7	5833
A0A060D1K4	A0A060D1K4	5833
A0A060D1M5	A0A060D1M5	5833
A0A060D1R1	A0A060D1R1	5833
A0A060D1V7	A0A060D1V7	5833
A0A060D1W6	A0A060D1W6	5833
A0A060D1W9	A0A060D1W9	5833
A0A060D1X3	A0A060D1X3	5833
A0A060D1X5	A0A060D1X5	5833
A0A060D205	A0A060D205	5833
A0A060D214	A0A060D214	5833
A0A060D223	A0A060D223	5833
A0A060D238	A0A060D238	5833
A0A060D244	A0A060D244	5833
A0A060D247	A0A060D247	5833
A0A060D256	A0A060D256	5833
A0A060D264	A0A060D264	5833
A0A060D281	A0A060D281	5833
A0A060D292	A0A060D292	5833
A0A060D2A7	A0A060D2A7	5833
A0A060D2B5	A0A060D2B5	5833
A0A060D2C0	A0A060D2C0	5833
A0A060D2C4	A0A060D2C4	5833
A0A060D2D3	A0A060D2D3	5833
A0A060D2D8	A0A060D2D8	5833
A0A060D2E6	A0A060D2E6	5833
A0A060D2F0	A0A060D2F0	5833
A0A060D2G5	A0A060D2G5	5833
A0A060D2H0	A0A060D2H0	5833
A0A060D2J9	A0A060D2J9	5833
A0A060D2K1	A0A060D2K1	5833
A0A060D2M0	A0A060D2M0	5833
A0A060D2P5	A0A060D2P5	5833
A0A060D2Q0	A0A060D2Q0	5833
A0A060D2S8	A0A060D2S8	5833
A0A060D2U3	A0A060D2U3	5833
A0A060D2V1	A0A060D2V1	5833
A0A060D2W7	A0A060D2W7	5833
A0A060D5K6	A0A060D5K6	5833
A0A060D5R7	A0A060D5R7	5833
A0A060D5T0	A0A060D5T0	5833
A0A060D5U8	A0A060D5U8	5833
A0A060D5W7	A0A060D5W7	5833
A0A060D5X9	A0A060D5X9	5833
A0A060D5Y9	A0A060D5Y9	5833
A0A060D607	A0A060D607	5833
A0A060D613	A0A060D613	5833
A0A060D636	A0A060D636	5833
A0A060D644	A0A060D644	5833
A0A060D647	A0A060D647	5833
A0A060D653	A0A060D653	5833
A0A060D656	A0A060D656	5833
A0A060D661	A0A060D661	5833
A0A060D667	A0A060D667	5833
A0A060D696	A0A060D696	5833
A0A060D6A2	A0A060D6A2	5833
A0A060D6A9	A0A060D6A9	5833
A0A060D6B4	A0A060D6B4	5833
A0A060D6C4	A0A060D6C4	5833
A0A060D6D1	A0A060D6D1	5833
A0A060D6E1	A0A060D6E1	5833
A0A060D6E8	A0A060D6E8	5833
A0A060D6G0	A0A060D6G0	5833
A0A060D6G7	A0A060D6G7	5833
A0A060D6J1	A0A060D6J1	5833
A0A060D6P2	A0A060D6P2	5833
A0A060D6U4	A0A060D6U4	5833
A0A060DAW8	A0A060DAW8	5833
A0A060DAX8	A0A060DAX8	5833
A0A060DAY7	A0A060DAY7	5833
A0A060DAZ2	A0A060DAZ2	5833
A0A060DAZ6	A0A060DAZ6	5833
A0A060DB20	A0A060DB20	5833
A0A060DB32	A0A060DB32	5833
A0A060DB65	A0A060DB65	5833
A0A060DB80	A0A060DB80	5833
A0A060DB91	A0A060DB91	5833
A0A060DBA9	A0A060DBA9	5833
A0A060DBD2	A0A060DBD2	5833
A0A060DBE9	A0A060DBE9	5833
A0A060DBK1	A0A060DBK1	5833
A0A060DBQ7	A0A060DBQ7	5833
A0A060DBR2	A0A060DBR2	5833
A0A060DBR7	A0A060DBR7	5833
A0A060DBT3	A0A060DBT3	5833
A0A060DBT9	A0A060DBT9	5833
A0A060DBU4	A0A060DBU4	5833
A0A060DBV6	A0A060DBV6	5833
A0A060DBW7	A0A060DBW7	5833
A0A060DBY7	A0A060DBY7	5833
A0A060DBZ2	A0A060DBZ2	5833
A0A060DC02	A0A060DC02	5833
A0A060DC17	A0A060DC17	5833
A0A060DC46	A0A060DC46	5833
