pmid	pair_id	set	DS.score.pred	up_ccline
10725339	P00533_Q14289	DSP predicted	1	no
10725339	P04049_P27361	DSP predicted	1	no
10725339	P04049_P29323	DSP predicted	1	no
10725339	P04049_P55085	DSP predicted	1	no
10725339	P04049_Q9NWF4	DSP predicted	1	no
10725339	P11345_P29066	IMEx curated		
10725339	P11345_P55085	IMEx curated		
10725339	P27361_P55085	DSP predicted	1	no
10725339	P27361_Q14289	DSP predicted	1	no
10725339	P27361_Q9NWF4	DSP predicted	1	no
10725339	P29066_P55085	IMEx curated		
10725339	P29066_Q63645	IMEx curated		
10725339	P29323_P55085	DSP predicted	1	no
10725339	P29323_Q9NWF4	DSP predicted	1	no
10725339	P49407_P55085	DSP predicted	1	no
10725339	P55085_Q14289	DSP predicted	1	no
10725339	P70600_Q9WUD9	IMEx curated		
10725339	Q14289_Q9NWF4	DSP predicted	1	no
10811835	A0A024RCB3_O75841	DSP predicted	0	no
10811835	A0A024RCB3_P01589	DSP predicted	0	no
10811835	A0A024RCB3_P56199	DSP predicted	0	no
10811835	A0A024RCB3_Q5W005	DSP predicted	0	no
10811835	A0A024RCB3_Q92562	DSP predicted	0	no
10811835	A0A024RCB3_Q9UMD9	DSP predicted	0	no
10811835	A0A024RCE1_P56199	DSP predicted	0	no
10811835	A8MVV6_P56199	DSP predicted	0	no
10811835	O14817_P56199	DSP predicted	0	no
10811835	O75841_P48509	DSP predicted	0	no
10811835	O75841_Q6ZNZ0	DSP predicted	0	no
10811835	P01589_P48509	DSP predicted	0	no
10811835	P01589_Q6ZNZ0	DSP predicted	0	no
10811835	P16144_P48509	IMEx curated		
10811835	P23229_P48509	IMEx curated		
10811835	P26006_P48509	IMEx curated		
10811835	P48509_P56199	DSP predicted	0	no
10811835	P48509_Q5W005	DSP predicted	0	no
10811835	P48509_Q92562	DSP predicted	0	no
10811835	P48509_Q9UMD9	DSP predicted	0	no
10811835	P56199_Q6ZNZ0	DSP predicted	0	no
10811835	Q5W005_Q6ZNZ0	DSP predicted	0	no
10811835	Q6ZNZ0_Q92562	DSP predicted	0	no
10811835	Q6ZNZ0_Q9UMD9	DSP predicted	0	no
12509223	A0A024RD33_A8K3B6	DSP predicted	10	no
12509223	A0A024RD33_B2R6Q4	DSP predicted	10	no
12509223	A0A024RD33_P12931	DSP predicted	10	no
12509223	A0A024RD33_P20783	DSP predicted	10	no
12509223	A0A024RD33_P41240	DSP predicted	10	no
12509223	A0A024RD33_Q6FII1	DSP predicted	10	no
12509223	A0A024RD33_Q9Y2Q3	DSP predicted	10	no
12509223	A0A024RD37_A8K3B6	DSP predicted	10	no
12509223	A0A024RD37_B2R6Q4	DSP predicted	10	no
12509223	A0A024RD37_P12931	DSP predicted	10	no
12509223	A0A024RD37_P20783	DSP predicted	10	no
12509223	A0A024RD37_P41240	DSP predicted	10	no
12509223	A0A024RD37_Q6FII1	DSP predicted	10	no
12509223	A0A024RD37_Q9Y2Q3	DSP predicted	10	no
12509223	A0A024RD88_A8K3B6	DSP predicted	10	no
12509223	A0A024RD88_B2R6Q4	DSP predicted	10	no
12509223	A0A024RD88_L7RSL3	DSP predicted	10	no
12509223	A0A024RD88_P07333	DSP predicted	10	no
12509223	A0A024RD88_P17948	DSP predicted	10	no
12509223	A0A024RD88_P41240	DSP predicted	10	no
12509223	A0A024RD88_Q6FII1	DSP predicted	10	no
12509223	A0A024RD88_Q7RTV2	DSP predicted	10	no
12509223	A0A024RD88_Q7Z376	DSP predicted	10	no
12509223	A0A024RD88_Q99962	DSP predicted	10	no
12509223	A0A024RD88_Q9Y2Q3	DSP predicted	10	no
12509223	A0A087WTP4_A8K3B6	DSP predicted	10	no
12509223	A0A087WTP4_B2R6Q4	DSP predicted	10	no
12509223	A0A087WTP4_P12931	DSP predicted	10	no
12509223	A0A087WTP4_P20783	DSP predicted	10	no
12509223	A0A087WTP4_P41240	DSP predicted	10	no
12509223	A0A087WTP4_Q6FII1	DSP predicted	10	no
12509223	A0A087WTP4_Q9Y2Q3	DSP predicted	10	no
12509223	A0A087WUD8_A8K3B6	DSP predicted	10	no
12509223	A0A087WUD8_B2R6Q4	DSP predicted	10	no
12509223	A0A087WUD8_P12931	DSP predicted	10	no
12509223	A0A087WUD8_P20783	DSP predicted	10	no
12509223	A0A087WUD8_P41240	DSP predicted	10	no
12509223	A0A087WUD8_Q6FII1	DSP predicted	10	no
12509223	A0A087WUD8_Q9Y2Q3	DSP predicted	10	no
12509223	A0A087X0B2_A8K3B6	DSP predicted	10	no
12509223	A0A087X0B2_B2R6Q4	DSP predicted	10	no
12509223	A0A087X0B2_P12931	DSP predicted	10	no
12509223	A0A087X0B2_P20783	DSP predicted	10	no
12509223	A0A087X0B2_P41240	DSP predicted	10	no
12509223	A0A087X0B2_Q6FII1	DSP predicted	10	no
12509223	A0A087X0B2_Q9Y2Q3	DSP predicted	10	no
12509223	A0A087X1L1_A8K3B6	DSP predicted	10	no
12509223	A0A087X1L1_B2R6Q4	DSP predicted	10	no
12509223	A0A087X1L1_P12931	DSP predicted	10	no
12509223	A0A087X1L1_P20783	DSP predicted	10	no
12509223	A0A087X1L1_P41240	DSP predicted	10	no
12509223	A0A087X1L1_Q6FII1	DSP predicted	10	no
12509223	A0A087X1L1_Q9Y2Q3	DSP predicted	10	no
12509223	A0A0Y0IMM4_A8K3B6	DSP predicted	10	no
12509223	A0A0Y0IMM4_B2R6Q4	DSP predicted	10	no
12509223	A0A0Y0IMM4_P12931	DSP predicted	10	no
12509223	A0A0Y0IMM4_P20783	DSP predicted	10	no
12509223	A0A0Y0IMM4_P41240	DSP predicted	10	no
12509223	A0A0Y0IMM4_Q6FII1	DSP predicted	10	no
12509223	A0A0Y0IMM4_Q9Y2Q3	DSP predicted	10	no
12509223	A2A2V4_A8K3B6	DSP predicted	10	no
12509223	A2A2V4_B2R6Q4	DSP predicted	10	no
12509223	A2A2V4_P12931	DSP predicted	10	no
12509223	A2A2V4_P20783	DSP predicted	10	no
12509223	A2A2V4_P41240	DSP predicted	10	no
12509223	A2A2V4_Q6FII1	DSP predicted	10	no
12509223	A2A2V4_Q9Y2Q3	DSP predicted	10	no
12509223	A8K3B6_B4DE36	DSP predicted	10	no
12509223	A8K3B6_L7RSL3	DSP predicted	10	no
12509223	A8K3B6_P06744	DSP predicted	10	no
12509223	A8K3B6_P07333	DSP predicted	10	no
12509223	A8K3B6_P15692	DSP predicted	10	no
12509223	A8K3B6_P17948	DSP predicted	10	no
12509223	A8K3B6_P35968	DSP predicted	10	no
12509223	A8K3B6_Q7RTV2	DSP predicted	10	no
12509223	B2R6Q4_B4DE36	DSP predicted	10	no
12509223	B2R6Q4_L7RSL3	DSP predicted	10	no
12509223	B2R6Q4_P06744	DSP predicted	10	no
12509223	B2R6Q4_P07333	DSP predicted	10	no
12509223	B2R6Q4_P15692	DSP predicted	10	no
12509223	B2R6Q4_P17948	DSP predicted	10	no
12509223	B2R6Q4_P35968	DSP predicted	10	no
12509223	B2R6Q4_Q7RTV2	DSP predicted	10	no
12509223	B4DE36_L7RSL3	DSP predicted	10	no
12509223	B4DE36_P12931	DSP predicted	10	no
12509223	B4DE36_P17948	DSP predicted	10	no
12509223	B4DE36_P41240	DSP predicted	10	no
12509223	B4DE36_Q6FII1	DSP predicted	10	no
12509223	B4DE36_Q9Y2Q3	DSP predicted	10	no
12509223	L7RSL3_P06241	DSP predicted	10	no
12509223	L7RSL3_P06744	DSP predicted	10	no
12509223	L7RSL3_P07333	DSP predicted	10	no
12509223	L7RSL3_P07947	DSP predicted	10	no
12509223	L7RSL3_P09619	DSP predicted	10	no
12509223	L7RSL3_P12931	DSP predicted	10	no
12509223	L7RSL3_P35968	DSP predicted	10	no
12509223	L7RSL3_P41240	DSP predicted	10	no
12509223	L7RSL3_Q59F04	DSP predicted	10	no
12509223	L7RSL3_Q6FII1	DSP predicted	10	no
12509223	L7RSL3_Q7RTV2	DSP predicted	10	no
12509223	L7RSL3_Q7Z376	DSP predicted	10	no
12509223	L7RSL3_Q99962	DSP predicted	10	no
12509223	L7RSL3_Q9Y2Q3	DSP predicted	10	no
12509223	P06241_P17948	predicted & curated	10	no
12509223	P06744_P12931	DSP predicted	10	no
12509223	P06744_P17948	DSP predicted	10	no
12509223	P06744_P41240	DSP predicted	10	no
12509223	P06744_Q6FII1	DSP predicted	10	no
12509223	P06744_Q9Y2Q3	DSP predicted	10	no
12509223	P07333_P07947	DSP predicted	10	no
12509223	P07333_P17948	DSP predicted	10	no
12509223	P07333_P35968	DSP predicted	10	no
12509223	P07333_P41240	DSP predicted	10	no
12509223	P07333_Q7RTV2	DSP predicted	10	no
12509223	P07947_P17948	predicted & curated	10	no
12509223	P09619_P17948	DSP predicted	10	no
12509223	P12931_P15692	DSP predicted	10	no
12509223	P12931_P17948	DSP predicted	10	no
12509223	P12931_P35968	IMEx curated		
12509223	P15692_P20783	DSP predicted	10	no
12509223	P15692_P35968	DSP predicted	10	no
12509223	P15692_P41240	DSP predicted	10	no
12509223	P15692_Q6FII1	DSP predicted	10	no
12509223	P15692_Q9Y2Q3	DSP predicted	10	no
12509223	P17948_P35968	DSP predicted	10	no
12509223	P17948_P41240	DSP predicted	10	no
12509223	P17948_Q59F04	DSP predicted	10	no
12509223	P17948_Q6FII1	DSP predicted	10	no
12509223	P17948_Q7RTV2	DSP predicted	10	no
12509223	P17948_Q7Z376	DSP predicted	10	no
12509223	P17948_Q99962	DSP predicted	10	no
12509223	P17948_Q9Y2Q3	DSP predicted	10	no
12509223	P35968_P41240	DSP predicted	10	no
12509223	P35968_Q6FII1	DSP predicted	10	no
12509223	P35968_Q7RTV2	DSP predicted	10	no
12509223	P35968_Q7Z376	DSP predicted	10	no
12509223	P35968_Q86UG4	DSP predicted	10	no
12509223	P35968_Q99962	DSP predicted	10	no
12509223	P35968_Q9Y2Q3	DSP predicted	10	no
12509223	P41240_Q7RTV2	DSP predicted	10	no
15728506	A0A024R9W4_A0A0A0MS70	DSP predicted	1	no
15728506	A0A024R9W4_A0A0A0MSI9	DSP predicted	1	no
15728506	A0A024R9W4_A0A0A0MST0	DSP predicted	1	no
15728506	A0A024R9W4_B2R933	DSP predicted	1	no
15728506	A0A024R9W4_Q99836	DSP predicted	1	no
15728506	A0A024R9W4_Q9Y2C9	DSP predicted	1	no
15728506	A0A0A0MS70_Q9BXR5	DSP predicted	1	no
15728506	A0A0A0MSI9_Q9BXR5	DSP predicted	1	no
15728506	A0A0A0MST0_Q9BXR5	DSP predicted	1	no
15728506	B2R933_Q9BXR5	DSP predicted	1	no
15728506	O00206_Q99836	IMEx curated		
15728506	O00206_Q9Y6Y9	IMEx curated		
15728506	O60603_Q9BXR5	IMEx curated		
15728506	Q15399_Q9BXR5	IMEx curated		
15728506	Q99836_Q9BXR5	predicted & curated	1	no
15728506	Q9BXR5_Q9BXR5	IMEx curated		
15728506	Q9BXR5_Q9Y2C9	DSP predicted	1	no
15793576	Q5QNS5_Q6U7R4	IMEx curated		
15793576	Q96D42_Q96H15	DSP predicted	0	no
16282588	A0A087X1W2_B2R4R0	DSP predicted	0	no
16282588	A0A087X1W2_P62805	DSP predicted	0	no
16282588	A8K840_B4DI29	DSP predicted	0	no
16282588	A8K840_B4E127	DSP predicted	0	no
16282588	A8K840_Q13569	DSP predicted	0	no
16282588	A8MUP8_B4DI29	DSP predicted	0	no
16282588	A8MUP8_B4E127	DSP predicted	0	no
16282588	A8MUP8_Q13569	DSP predicted	0	no
16282588	B2R4R0_H7C2I1	DSP predicted	0	no
16282588	B2R4R0_Q86X55	DSP predicted	0	no
