uniprotkb:P38398	uniprotkb:P03372	intact:EBI-349905	intact:EBI-78473	psi-mi:brca1_human|psi-mi:BRCA1|uniprotkb:Q3LRJ0|uniprotkb:O15129|uniprotkb:Q7KYU9|uniprotkb:Q3LRJ6|uniprotkb:Q6IN79|uniprotkb:Q1RMC1|uniprotkb:E9PFZ0|uniprotkb:BRCA1|uniprotkb:RNF53|uniprotkb:RING finger protein 53|uniprotkb:RING-type E3 ubiquitin transferase BRCA1|dip:DIP-5971N	psi-mi:esr1_human|psi-mi:ESR1|uniprotkb:Q6MZQ9|uniprotkb:Q13511|uniprotkb:Q14276|uniprotkb:Q9NU51|uniprotkb:Q9UDZ7|uniprotkb:Q9UIS7|uniprotkb:Q5T5H7|uniprotkb:ESR1|uniprotkb:ESR|uniprotkb:NR3A1|uniprotkb:Estradiol receptor|uniprotkb:ER-alpha|uniprotkb:Nuclear receptor subfamily 3 group A member 1	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Fan et al. (2001)|Ma et al. (2005)	pubmed:11244506|mint:MINT-5215931|doi:10.1038/sj.onc.1204073|imex:IM-19371|pubmed:15674350	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0469"(IntAct)	intact:EBI-7795238|intact:EBI-1017529|intact:EBI-1024926|intact:EBI-1024855|intact:EBI-1024954|intact:EBI-1024834|intact:EBI-1025018|intact:EBI-7795266|intact:EBI-1025336|intact:EBI-1025302|intact:EBI-1025157|intact:EBI-1025311|intact:EBI-1025255|intact:EBI-1025098	intact-miscore:0.76|miscore:0.7556518
uniprotkb:Q9HC29	uniprotkb:O43353	intact:EBI-7445625	intact:EBI-358522	psi-mi:nod2_human|psi-mi:NOD2|uniprotkb:Q96RH5|uniprotkb:Q96RH8|uniprotkb:Q96RH6|uniprotkb:E2JEQ6|uniprotkb:IBD1|uniprotkb:NOD2|uniprotkb:CARD15|uniprotkb:Caspase recruitment domain-containing protein 15|uniprotkb:Inflammatory bowel disease protein 1|intact:MINT-151071|dip:DIP-41998N	psi-mi:ripk2_human|psi-mi:RIPK2|uniprotkb:Q6UWF0|uniprotkb:B7Z748|uniprotkb:RIPK2|uniprotkb:CARDIAK|uniprotkb:RICK|uniprotkb:RIP2|uniprotkb:UNQ277/PRO314/PRO34092|uniprotkb:RIP-like-interacting CLARP kinase|uniprotkb:Receptor-interacting protein 2|uniprotkb:CARD-containing interleukin-1 beta-converting enzyme-associated kinase|uniprotkb:Tyrosine-protein kinase RIPK2|dip:DIP-27518N	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ogura et al. (2001)|Zurek et al. (2012)	pubmed:11087742|mint:MINT-5213221|imex:IM-23213|pubmed:22829933	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0469"(IntAct)	intact:EBI-7445731|intact:EBI-9867257|intact:EBI-9867249	intact-miscore:0.73|miscore:0.64138633
uniprotkb:P60953	uniprotkb:P27986	intact:EBI-81752	intact:EBI-79464	psi-mi:cdc42_human|psi-mi:CDC42|uniprotkb:P21181|uniprotkb:P25763|uniprotkb:Q7L8R5|uniprotkb:Q9UDI2|uniprotkb:CDC42|uniprotkb:G25K GTP-binding protein	psi-mi:p85a_human|psi-mi:PIK3R1|uniprotkb:Q15747|uniprotkb:Q4VBZ7|uniprotkb:Q53EM6|uniprotkb:Q8IXA2|uniprotkb:Q8N1C5|uniprotkb:D3DWA0|uniprotkb:B3KT19|uniprotkb:E7EX19|uniprotkb:PIK3R1|uniprotkb:GRB1|uniprotkb:Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha|dip:DIP-119N	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0045"(experimental interaction detection)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Tolias et al. (1995)|Zheng et al. (1994)|Cheung et al. (2014)	mint:MINT-5220471|pubmed:7629060|mint:MINT-5220695|pubmed:8034624|imex:IM-23672|pubmed:25284480	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0469"(IntAct)	intact:EBI-8592528|intact:EBI-8631232|intact:EBI-10053482|intact:EBI-9994649|intact:EBI-8631289|intact:EBI-9994567|intact:EBI-8592559|intact:EBI-10053489|intact:EBI-8631150|intact:EBI-9994937	intact-miscore:0.79|miscore:0.79433316
uniprotkb:P27986	uniprotkb:P00533	intact:EBI-79464	intact:EBI-297353	psi-mi:p85a_human|psi-mi:PIK3R1|uniprotkb:Q15747|uniprotkb:Q4VBZ7|uniprotkb:Q53EM6|uniprotkb:Q8IXA2|uniprotkb:Q8N1C5|uniprotkb:D3DWA0|uniprotkb:B3KT19|uniprotkb:E7EX19|uniprotkb:PIK3R1|uniprotkb:GRB1|uniprotkb:Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha|dip:DIP-119N	psi-mi:egfr_human|psi-mi:EGFR|uniprotkb:Q9BZS2|uniprotkb:Q9GZX1|uniprotkb:Q9H2C9|uniprotkb:Q9H3C9|uniprotkb:Q9UMD7|uniprotkb:Q9UMD8|uniprotkb:Q9UMG5|uniprotkb:O00688|uniprotkb:O00732|uniprotkb:P06268|uniprotkb:Q14225|uniprotkb:Q92795|uniprotkb:Q68GS5|uniprotkb:ERBB1|uniprotkb:EGFR|uniprotkb:Receptor tyrosine-protein kinase erbB-1|uniprotkb:Proto-oncogene c-ErbB-1|uniprotkb:ERBB|uniprotkb:HER1|dip:DIP-405N	psi-mi:"MI:0813"(proximity ligation assay)|psi-mi:"MI:0405"(competition binding)|psi-mi:"MI:0089"(protein array)|psi-mi:"MI:0019"(coimmunoprecipitation)	Fukazawa et al. (1996)|Jones et al. (2006)|Stover et al. (1995)|Chen et al. (2014)	pubmed:8662998|mint:MINT-5221064|pubmed:16273093|imex:IM-14137|mint:MINT-5218056|pubmed:7797556|mint:MINT-6730472|pubmed:25241761|imex:IM-18707	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0469"(IntAct)	intact:EBI-7876047|intact:EBI-7876015|intact:EBI-8618948|intact:EBI-8682765|intact:EBI-7875969|intact:EBI-6593682	intact-miscore:0.78|miscore:0.7786386
uniprotkb:P42345	uniprotkb:P42345	intact:EBI-359260	intact:EBI-359260	psi-mi:mtor_human|psi-mi:MTOR|uniprotkb:Q5TER1|uniprotkb:Q4LE76|uniprotkb:Q6LE87|uniprotkb:Q96QG3|uniprotkb:Q9Y4I3|uniprotkb:MTOR|uniprotkb:FRAP|uniprotkb:FRAP2|uniprotkb:FK506-binding protein 12-rapamycin complex-associated protein 1|uniprotkb:Rapamycin target protein 1|uniprotkb:FRAP1|uniprotkb:Mammalian target of rapamycin|uniprotkb:FKBP12-rapamycin complex-associated protein|uniprotkb:Mechanistic target of rapamycin|uniprotkb:RAFT1|uniprotkb:RAPT1|uniprotkb:Rapamycin and FKBP12 target 1	psi-mi:mtor_human|psi-mi:MTOR|uniprotkb:Q5TER1|uniprotkb:Q4LE76|uniprotkb:Q6LE87|uniprotkb:Q96QG3|uniprotkb:Q9Y4I3|uniprotkb:MTOR|uniprotkb:FRAP|uniprotkb:FRAP2|uniprotkb:FK506-binding protein 12-rapamycin complex-associated protein 1|uniprotkb:Rapamycin target protein 1|uniprotkb:FRAP1|uniprotkb:Mammalian target of rapamycin|uniprotkb:FKBP12-rapamycin complex-associated protein|uniprotkb:Mechanistic target of rapamycin|uniprotkb:RAFT1|uniprotkb:RAPT1|uniprotkb:Rapamycin and FKBP12 target 1	psi-mi:"MI:0011"(beta lactamase complementation)|psi-mi:"MI:0424"(protein kinase assay)	Remy et al. (2001)|Liu et al. (2014)	pubmed:11438723|mint:MINT-5214238|pubmed:24670654|doi:10.1038/nature13079|imex:IM-22682	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0465"(DIP)	intact:EBI-7899532|intact:EBI-16098043	intact-miscore:0.59|miscore:0.592242
uniprotkb:P60953	uniprotkb:P23443	intact:EBI-81752	intact:EBI-1775921	psi-mi:cdc42_human|psi-mi:CDC42|uniprotkb:P21181|uniprotkb:P25763|uniprotkb:Q7L8R5|uniprotkb:Q9UDI2|uniprotkb:CDC42|uniprotkb:G25K GTP-binding protein	psi-mi:ks6b1_human|psi-mi:RPS6KB1|uniprotkb:B2R779|uniprotkb:B4DTG1|uniprotkb:F6UYM1|uniprotkb:B4DLT4|uniprotkb:E7ESB8|uniprotkb:Q7Z721|uniprotkb:RPS6KB1|uniprotkb:STK14A|uniprotkb:Ribosomal protein S6 kinase I|uniprotkb:p70 ribosomal S6 kinase alpha|uniprotkb:70 kDa ribosomal protein S6 kinase 1|uniprotkb:Serine/threonine-protein kinase 14A|intact:EBI-11107861	psi-mi:"MI:0011"(beta lactamase complementation)	Remy et al. (2001)	pubmed:11438723|mint:MINT-5214238	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7899694	intact-miscore:0.37|miscore:0.36784992
uniprotkb:P13010	uniprotkb:P12956	intact:EBI-357997	intact:EBI-353208	psi-mi:xrcc5_human|psi-mi:XRCC5|uniprotkb:A8K3X5|uniprotkb:Q0Z7V0|uniprotkb:Q53HH7|uniprotkb:Q7M4N0|uniprotkb:Q4VBQ5|uniprotkb:Q9UCQ0|uniprotkb:Q9UCQ1|uniprotkb:XRCC5|uniprotkb:G22P2|uniprotkb:ATP-dependent DNA helicase II 80 kDa subunit|uniprotkb:Lupus Ku autoantigen protein p86|uniprotkb:86 kDa subunit of Ku antigen|uniprotkb:Ku86|uniprotkb:Ku80|uniprotkb:Thyroid-lupus autoantigen|uniprotkb:CTC box-binding factor 85 kDa subunit|uniprotkb:Nuclear factor IV|uniprotkb:DNA repair protein XRCC5|uniprotkb:"X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)"|uniprotkb:ATP-dependent DNA helicase 2 subunit 2	psi-mi:xrcc6_human|psi-mi:XRCC6|uniprotkb:Q6FG89|uniprotkb:Q9UCQ2|uniprotkb:Q9UCQ3|uniprotkb:B1AHC8|uniprotkb:XRCC6|uniprotkb:G22P1|uniprotkb:ATP-dependent DNA helicase II 70 kDa subunit|uniprotkb:Lupus Ku autoantigen protein p70|uniprotkb:70 kDa subunit of Ku antigen|uniprotkb:Thyroid-lupus autoantigen|uniprotkb:CTC box-binding factor 75 kDa subunit|uniprotkb:DNA repair protein XRCC6|uniprotkb:X-ray repair complementing defective repair in Chinese hamster cells 6|uniprotkb:ATP-dependent DNA helicase 2 subunit 1|uniprotkb:5'-deoxyribose-5-phosphate lyase Ku70|intact:EBI-2843064|intact:EBI-8456785|intact:MINT-8429298	psi-mi:"MI:0040"(electron microscopy)|psi-mi:"MI:1112"(two hybrid prey pooling approach)|psi-mi:"MI:0114"(x-ray crystallography)|psi-mi:"MI:0401"(biochemical)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0676"(tandem affinity purification)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0397"(two hybrid array)|psi-mi:"MI:0030"(cross-linking study)	Cooper et al. (2000)|Walker et al. (2001)|Rivera-Calzada et al. (2007)|Idogawa et al. (2007)|Rubin et al. (2007)|Velma et al. (2010)|Sand-Dejmek et al. (2011)|Hein et al. (2015)|Huri, et al. (2017)|Zhang et al. (2012)|Ochi et al. (2015)|Fasci et al. (2018)	mint:MINT-5212534|pubmed:10783163|mint:MINT-5214366|pubmed:11493912|pubmed:17159921|imex:IM-11282|mint:MINT-5219440|imex:IM-19911|pubmed:17283121|pubmed:17308091|pubmed:21070772|imex:IM-15672|mint:MINT-8052760|doi:10.1016/j.febslet.2010.11.004|imex:IM-16919|pubmed:21679440|pubmed:26496610|imex:IM-24272|pubmed:unassigned1304|imex:IM-25472|pubmed:22451927|doi:10.1073/pnas.1106300109|imex:IM-20657|pubmed:25574025|doi:"https://doi.org/10.1126/science.1261971"|imex:IM-24329|pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0217"(phosphorylation reaction)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0469"(IntAct)|psi-mi:"MI:1263"(Molecular Connections)|psi-mi:"MI:0465"(DIP)	intact:EBI-8505439|intact:EBI-20910616|intact:EBI-7162081|intact:EBI-15976240|intact:EBI-16138058|intact:EBI-707473|intact:EBI-516722|intact:EBI-1563979|intact:EBI-1201176|intact:EBI-1563999|intact:EBI-1563986|intact:EBI-18744590|intact:EBI-11057566|intact:EBI-11057764|intact:EBI-1563993|intact:EBI-7162105|intact:EBI-4370616|intact:EBI-15976169|intact:EBI-18744603	intact-miscore:0.96|author score:0.771432599779|miscore:0.95506126
uniprotkb:P38398	uniprotkb:Q9BX63	intact:EBI-349905	intact:EBI-3509650	psi-mi:brca1_human|psi-mi:BRCA1|uniprotkb:Q3LRJ0|uniprotkb:O15129|uniprotkb:Q7KYU9|uniprotkb:Q3LRJ6|uniprotkb:Q6IN79|uniprotkb:Q1RMC1|uniprotkb:E9PFZ0|uniprotkb:BRCA1|uniprotkb:RNF53|uniprotkb:RING finger protein 53|uniprotkb:RING-type E3 ubiquitin transferase BRCA1|dip:DIP-5971N	psi-mi:fancj_human|psi-mi:BRIP1|uniprotkb:Q3MJE2|uniprotkb:Q8NCI5|uniprotkb:A0A024QZ45|uniprotkb:BRIP1|uniprotkb:BACH1|uniprotkb:FANCJ|uniprotkb:ATP-dependent RNA helicase BRIP1|uniprotkb:BRCA1-associated C-terminal helicase 1|uniprotkb:BRCA1-interacting protein C-terminal helicase 1	psi-mi:"MI:0676"(tandem affinity purification)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:1314"(proximity-dependent biotin identification)|psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0107"(surface plasmon resonance)|psi-mi:"MI:0071"(molecular sieving)|psi-mi:"MI:0096"(pull down)	Manke et al. (2003)|Wang et al. (2007)|Peng et al. (2007)|Suhasini et al. (2011)|Sy et al. (2009)|Gupta et al. (2018)	pubmed:14576432|mint:MINT-5216783|imex:IM-19729|pubmed:17525340|pubmed:17581638|imex:IM-11248|mint:MINT-5220047|mint:MINT-8140640|pubmed:21240188|imex:IM-15389|doi:10.1038/emboj.2010.362|pubmed:19369211|doi:10.1073/pnas.0811159106|imex:IM-14716|imex:IM-26416|pubmed:29656893	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0469"(IntAct)|psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0486"(UniProt)	intact:EBI-7470675|intact:EBI-7470556|intact:EBI-7470596|intact:EBI-7470761|intact:EBI-7471146|intact:EBI-15770633|intact:EBI-7051506|intact:EBI-15770450|intact:EBI-7051409|intact:EBI-15770541|intact:EBI-7051432|intact:EBI-8564248|intact:EBI-8564589|intact:EBI-8564605|intact:EBI-7051341|intact:EBI-1263655|intact:EBI-1263667|intact:EBI-7470619|intact:EBI-20209689|intact:EBI-1263518	intact-miscore:0.97|miscore:0.9378796
uniprotkb:Q01094	uniprotkb:Q92547	intact:EBI-448924	intact:EBI-308302	psi-mi:e2f1_human|psi-mi:E2F1|uniprotkb:Q13143|uniprotkb:Q92768|uniprotkb:Retinoblastoma-associated protein 1|uniprotkb:Retinoblastoma-binding protein 3|uniprotkb:PBR3|uniprotkb:E2F1|uniprotkb:RBBP3|uniprotkb:pRB-binding protein E2F-1	psi-mi:topb1_human|psi-mi:TOPBP1|uniprotkb:Q7LGC1|uniprotkb:Q9UEB9|uniprotkb:B7Z7W8|uniprotkb:KIAA0259|uniprotkb:TOPBP1|uniprotkb:DNA topoisomerase II-binding protein 1|uniprotkb:DNA topoisomerase II-beta-binding protein 1	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0096"(pull down)	Manke et al. (2003)|Liu et al. (2006)	pubmed:14576432|mint:MINT-5216783|pubmed:17006541|imex:IM-11117|mint:MINT-5219150	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7051455|intact:EBI-6997693|intact:EBI-6997621|intact:EBI-6997915	intact-miscore:0.70|miscore:0.703944
uniprotkb:Q92793	uniprotkb:Q15596	intact:EBI-81215	intact:EBI-81236	psi-mi:cbp_human|psi-mi:CREBBP|uniprotkb:O00147|uniprotkb:Q16376|uniprotkb:D3DUC9|uniprotkb:Q4LE28|uniprotkb:CREBBP|uniprotkb:CBP|dip:DIP-952N	psi-mi:ncoa2_human|psi-mi:NCOA2|uniprotkb:Q14CD2|uniprotkb:NCOA2|uniprotkb:TIF2|uniprotkb:Transcriptional intermediary factor 2|uniprotkb:BHLHE75|uniprotkb:Class E basic helix-loop-helix protein 75|uniprotkb:SRC2	psi-mi:"MI:0004"(affinity chromatography technology)	Wu et al. (2002)	pubmed:11971985	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-81304|intact:EBI-81326	intact-miscore:0.35|miscore:0.34505215
uniprotkb:Q92793	uniprotkb:Q15788	intact:EBI-81215	intact:EBI-455189	psi-mi:cbp_human|psi-mi:CREBBP|uniprotkb:O00147|uniprotkb:Q16376|uniprotkb:D3DUC9|uniprotkb:Q4LE28|uniprotkb:CREBBP|uniprotkb:CBP|dip:DIP-952N	psi-mi:ncoa1_human|psi-mi:NCOA1|uniprotkb:O00150|uniprotkb:O43792|uniprotkb:O43793|uniprotkb:Q13071|uniprotkb:Q13420|uniprotkb:Q2T9G5|uniprotkb:Q53SX3|uniprotkb:Q6GVI5|uniprotkb:Q7KYV3|uniprotkb:Steroid receptor coactivator 1|uniprotkb:RIP160|uniprotkb:Protein Hin-2|uniprotkb:Renal carcinoma antigen NY-REN-52|uniprotkb:NCOA1|uniprotkb:SRC1|uniprotkb:BHLHE74|uniprotkb:Class E basic helix-loop-helix protein 74|dip:DIP-30877N	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0071"(molecular sieving)|psi-mi:"MI:0096"(pull down)	Wu et al. (2002)|Sheppard et al. (2001)|Goo et al. (2003)	pubmed:11971985|pubmed:11113179|mint:MINT-5213306|imex:IM-17052|pubmed:12482968	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)|psi-mi:"MI:0914"(association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)|psi-mi:"MI:0471"(MINT)	intact:EBI-81326|intact:EBI-4292467|intact:EBI-7461336|intact:EBI-7461372	intact-miscore:0.67|miscore:0.6687045
