pmid	id	set	pred
10725339	P00533	DSP mined	yes
10725339	P04049	DSP mined	yes
10725339	P04049	DSP mined	no
10725339	P11345	IMEx curated	
10725339	P27361	DSP mined	no
10725339	P27361	DSP mined	yes
10725339	P29066	IMEx curated	
10725339	P29323	DSP mined	no
10725339	P29323	DSP mined	yes
10725339	P49407	DSP mined	no
10725339	P55085	mined & curated	no
10725339	P70600	IMEx curated	
10725339	Q14289	DSP mined	no
10725339	Q14289	DSP mined	yes
10725339	Q63645	IMEx curated	
10725339	Q9NWF4	DSP mined	no
10725339	Q9WUD9	IMEx curated	
10811835	A0A024RCB3	DSP mined	no
10811835	A0A024RCE1	DSP mined	no
10811835	A8MVV6	DSP mined	no
10811835	O14817	DSP mined	yes
10811835	O75841	DSP mined	no
10811835	P01589	DSP mined	no
10811835	P16144	IMEx curated	
10811835	P23229	IMEx curated	
10811835	P26006	IMEx curated	
10811835	P48509	mined & curated	yes
10811835	P48509	mined & curated	no
10811835	P56199	DSP mined	no
10811835	P56199	DSP mined	yes
10811835	Q5W005	DSP mined	no
10811835	Q6ZNZ0	DSP mined	no
10811835	Q92562	DSP mined	no
10811835	Q9UMD9	DSP mined	no
12509223	A0A024RD33	DSP mined	no
12509223	A0A024RD37	DSP mined	no
12509223	A0A024RD88	DSP mined	no
12509223	A0A087WTP4	DSP mined	no
12509223	A0A087WUD8	DSP mined	no
12509223	A0A087X0B2	DSP mined	no
12509223	A0A087X1L1	DSP mined	no
12509223	A0A0Y0IMM4	DSP mined	no
12509223	A2A2V4	DSP mined	no
12509223	A8K3B6	DSP mined	no
12509223	B2R6Q4	DSP mined	no
12509223	B4DE36	DSP mined	no
12509223	L7RSL3	DSP mined	no
12509223	P06241	mined & curated	yes
12509223	P06241	mined & curated	no
12509223	P06744	DSP mined	yes
12509223	P06744	DSP mined	no
12509223	P07333	DSP mined	yes
12509223	P07333	DSP mined	no
12509223	P07947	mined & curated	yes
12509223	P07947	mined & curated	no
12509223	P09619	DSP mined	yes
12509223	P09619	DSP mined	no
12509223	P12931	mined & curated	no
12509223	P12931	mined & curated	yes
12509223	P15692	DSP mined	no
12509223	P15692	DSP mined	yes
12509223	P17948	mined & curated	yes
12509223	P17948	mined & curated	no
12509223	P20783	DSP mined	no
12509223	P35968	mined & curated	yes
12509223	P35968	mined & curated	no
12509223	P41240	DSP mined	no
12509223	P41240	DSP mined	yes
12509223	Q59F04	DSP mined	no
12509223	Q6FII1	DSP mined	no
12509223	Q7RTV2	DSP mined	no
12509223	Q7Z376	DSP mined	no
12509223	Q86UG4	DSP mined	no
12509223	Q99962	DSP mined	no
12509223	Q9Y2Q3	DSP mined	no
15728506	A0A024R9W4	DSP mined	no
15728506	A0A0A0MS70	DSP mined	no
15728506	A0A0A0MSI9	DSP mined	no
15728506	A0A0A0MST0	DSP mined	yes
15728506	A0A0A0MST0	DSP mined	no
15728506	B2R933	DSP mined	no
15728506	O00206	IMEx curated	
15728506	O60603	IMEx curated	
15728506	Q15399	IMEx curated	
15728506	Q99836	mined & curated	yes
15728506	Q99836	mined & curated	no
15728506	Q9BXR5	mined & curated	yes
15728506	Q9BXR5	mined & curated	no
15728506	Q9Y2C9	DSP mined	no
15728506	Q9Y2C9	DSP mined	yes
15728506	Q9Y6Y9	IMEx curated	
15793576	Q5QNS5	IMEx curated	
